Time:2016/9/8 16:46:21-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/9/8 16:46:21-Trace>>OnEntitySyncQueue execute count:7, success:51/total 58, fail:0 start...


Time:2016/9/8 16:46:21-Trace>>OnEntitySyncQueue execute count:10, success:58/total 68, fail:0 start...


Time:2016/9/8 16:46:36-Trace>>OnEntitySyncQueue execute count:1, success:68/total 69, fail:0 start...


Time:2016/9/8 16:46:36-Trace>>OnEntitySyncQueue execute count:52, success:69/total 121, fail:0 start...


Time:2016/9/8 16:47:39-Trace>>OnEntitySyncQueue execute count:1, success:121/total 122, fail:0 start...


Time:2016/9/8 16:49:05-Trace>>OnEntitySyncQueue execute count:58, success:0/total 58, fail:0 start...


Time:2016/9/8 16:49:05-Trace>>OnEntitySyncQueue execute count:7, success:58/total 65, fail:0 start...


Time:2016/9/8 16:49:06-Trace>>OnEntitySyncQueue execute count:10, success:65/total 75, fail:0 start...


