Time:2016/9/19 16:00:00-Trace>>OnEntitySyncQueue execute count:2, success:136/total 138, fail:0 start...


Time:2016/9/19 16:00:11-Trace>>OnEntitySyncQueue execute count:1, success:138/total 139, fail:0 start...


Time:2016/9/19 16:00:23-Trace>>OnEntitySyncQueue execute count:1, success:139/total 140, fail:0 start...


Time:2016/9/19 16:00:38-Trace>>OnEntitySyncQueue execute count:12, success:140/total 152, fail:0 start...


Time:2016/9/19 16:00:38-Trace>>Action-1005 Uid:52 access timeout 1190.0681/500ms.


Time:2016/9/19 16:00:38-Trace>>OnEntitySyncQueue execute count:2, success:152/total 154, fail:0 start...


Time:2016/9/19 16:00:43-Trace>>OnEntitySyncQueue execute count:1, success:154/total 155, fail:0 start...


Time:2016/9/19 16:01:25-Trace>>Action-7000 Uid:52 access timeout 6513.3725/500ms.


Time:2016/9/19 16:01:40-Trace>>OnEntitySyncQueue execute count:1, success:155/total 156, fail:0 start...


Time:2016/9/19 16:03:41-Trace>>OnEntitySyncQueue execute count:66, success:0/total 66, fail:0 start...


Time:2016/9/19 16:03:41-Trace>>OnEntitySyncQueue execute count:27, success:66/total 93, fail:0 start...


Time:2016/9/19 16:04:38-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/9/19 16:04:38-Trace>>OnEntitySyncQueue execute count:15, success:51/total 66, fail:0 start...


Time:2016/9/19 16:04:38-Trace>>OnEntitySyncQueue execute count:12, success:66/total 78, fail:0 start...


Time:2016/9/19 16:08:09-Trace>>OnEntitySyncQueue execute count:66, success:0/total 66, fail:0 start...


Time:2016/9/19 16:08:10-Trace>>OnEntitySyncQueue execute count:27, success:66/total 93, fail:0 start...


Time:2016/9/19 16:08:32-Trace>>OnEntitySyncQueue execute count:14, success:93/total 107, fail:0 start...


Time:2016/9/19 16:08:32-Trace>>OnEntitySyncQueue execute count:1, success:107/total 108, fail:0 start...


Time:2016/9/19 16:08:32-Trace>>OnEntitySyncQueue execute count:51, success:108/total 159, fail:0 start...


Time:2016/9/19 16:08:40-Trace>>Action-7000 Uid:54 access timeout 5777.3304/500ms.


Time:2016/9/19 16:10:00-Trace>>OnEntitySyncQueue execute count:2, success:159/total 161, fail:0 start...


Time:2016/9/19 16:12:53-Trace>>OnEntitySyncQueue execute count:1, success:161/total 162, fail:0 start...


Time:2016/9/19 16:16:41-Trace>>OnEntitySyncQueue execute count:1, success:162/total 163, fail:0 start...


Time:2016/9/19 16:17:52-Trace>>OnEntitySyncQueue execute count:1, success:163/total 164, fail:0 start...


Time:2016/9/19 16:19:09-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/9/19 16:19:10-Trace>>OnEntitySyncQueue execute count:15, success:51/total 66, fail:0 start...


Time:2016/9/19 16:19:10-Trace>>OnEntitySyncQueue execute count:13, success:66/total 79, fail:0 start...


Time:2016/9/19 16:20:00-Trace>>OnEntitySyncQueue execute count:2, success:79/total 81, fail:0 start...


Time:2016/9/19 16:23:45-Trace>>OnEntitySyncQueue execute count:1, success:81/total 82, fail:0 start...


