Time:2016/10/9 9:04:45-Trace>>OnEntitySyncQueue execute count:69, success:0/total 69, fail:0 start...


Time:2016/10/9 9:04:45-Trace>>OnEntitySyncQueue execute count:39, success:69/total 108, fail:0 start...


Time:2016/10/9 9:04:46-Trace>>OnEntitySyncQueue execute count:43, success:108/total 151, fail:0 start...


Time:2016/10/9 9:08:04-Trace>>OnEntitySyncQueue execute count:1, success:151/total 152, fail:0 start...


Time:2016/10/9 9:08:07-Trace>>OnEntitySyncQueue execute count:1, success:152/total 153, fail:0 start...


Time:2016/10/9 9:08:08-Trace>>OnEntitySyncQueue execute count:54, success:153/total 207, fail:0 start...


Time:2016/10/9 9:10:00-Trace>>OnEntitySyncQueue execute count:1, success:207/total 208, fail:0 start...


Time:2016/10/9 9:12:16-Trace>>OnEntitySyncQueue execute count:1, success:208/total 209, fail:0 start...


Time:2016/10/9 9:12:26-Trace>>OnEntitySyncQueue execute count:1, success:209/total 210, fail:0 start...


Time:2016/10/9 9:12:33-Trace>>OnEntitySyncQueue execute count:1, success:210/total 211, fail:0 start...


Time:2016/10/9 9:15:09-Trace>>OnEntitySyncQueue execute count:1, success:211/total 212, fail:0 start...


Time:2016/10/9 9:17:17-Trace>>Action-1004 Uid:83 access timeout 1068.0669/500ms.


Time:2016/10/9 9:17:17-Trace>>OnEntitySyncQueue execute count:1, success:212/total 213, fail:0 start...


Time:2016/10/9 9:17:20-Trace>>OnEntitySyncQueue execute count:1, success:213/total 214, fail:0 start...


Time:2016/10/9 9:17:21-Trace>>Action-3002 Uid:83 access timeout 1032.1976/500ms.


Time:2016/10/9 9:17:21-Trace>>Action-1008 Uid:83 access timeout 1082.8164/500ms.


Time:2016/10/9 9:17:42-Trace>>OnEntitySyncQueue execute count:1, success:214/total 215, fail:0 start...


Time:2016/10/9 9:17:46-Trace>>OnEntitySyncQueue execute count:1, success:215/total 216, fail:0 start...


Time:2016/10/9 9:17:49-Trace>>OnEntitySyncQueue execute count:1, success:216/total 217, fail:0 start...


Time:2016/10/9 9:18:14-Trace>>OnEntitySyncQueue execute count:1, success:217/total 218, fail:0 start...


Time:2016/10/9 9:18:27-Trace>>OnEntitySyncQueue execute count:1, success:218/total 219, fail:0 start...


Time:2016/10/9 9:18:30-Trace>>OnEntitySyncQueue execute count:1, success:219/total 220, fail:0 start...


Time:2016/10/9 9:20:00-Trace>>OnEntitySyncQueue execute count:2, success:220/total 222, fail:0 start...


Time:2016/10/9 9:22:10-Trace>>OnEntitySyncQueue execute count:1, success:222/total 223, fail:0 start...


Time:2016/10/9 9:22:15-Trace>>OnEntitySyncQueue execute count:1, success:223/total 224, fail:0 start...


Time:2016/10/9 9:22:18-Trace>>OnEntitySyncQueue execute count:1, success:224/total 225, fail:0 start...


Time:2016/10/9 9:23:15-Trace>>OnEntitySyncQueue execute count:1, success:225/total 226, fail:0 start...


Time:2016/10/9 9:23:19-Trace>>OnEntitySyncQueue execute count:1, success:226/total 227, fail:0 start...


Time:2016/10/9 9:23:25-Trace>>OnEntitySyncQueue execute count:1, success:227/total 228, fail:0 start...


Time:2016/10/9 9:25:14-Trace>>OnEntitySyncQueue execute count:1, success:228/total 229, fail:0 start...


Time:2016/10/9 9:25:34-Trace>>OnEntitySyncQueue execute count:1, success:229/total 230, fail:0 start...


Time:2016/10/9 9:25:37-Trace>>OnEntitySyncQueue execute count:1, success:230/total 231, fail:0 start...


