Time:2016/9/1 16:00:29-Trace>>Action-1100 Uid:1 access timeout 1117.0639/500ms.


Time:2016/9/1 16:00:29-Trace>>OnEntitySyncQueue execute count:1, success:132/total 133, fail:0 start...


Time:2016/9/1 16:00:31-Trace>>OnEntitySyncQueue execute count:1, success:133/total 134, fail:0 start...


Time:2016/9/1 16:00:41-Trace>>OnEntitySyncQueue execute count:1, success:134/total 135, fail:0 start...


Time:2016/9/1 16:01:10-Trace>>OnEntitySyncQueue execute count:1, success:135/total 136, fail:0 start...


Time:2016/9/1 16:01:12-Trace>>OnEntitySyncQueue execute count:1, success:136/total 137, fail:0 start...


Time:2016/9/1 16:01:18-Trace>>OnEntitySyncQueue execute count:1, success:137/total 138, fail:0 start...


Time:2016/9/1 16:01:47-Trace>>OnEntitySyncQueue execute count:1, success:138/total 139, fail:0 start...


Time:2016/9/1 16:01:52-Trace>>OnEntitySyncQueue execute count:1, success:139/total 140, fail:0 start...


Time:2016/9/1 16:01:59-Trace>>OnEntitySyncQueue execute count:1, success:140/total 141, fail:0 start...


Time:2016/9/1 16:02:00-Trace>>OnEntitySyncQueue execute count:1, success:141/total 142, fail:0 start...


Time:2016/9/1 16:02:38-Trace>>OnEntitySyncQueue execute count:1, success:142/total 143, fail:0 start...


Time:2016/9/1 16:02:42-Trace>>OnEntitySyncQueue execute count:1, success:143/total 144, fail:0 start...


Time:2016/9/1 16:02:49-Trace>>OnEntitySyncQueue execute count:1, success:144/total 145, fail:0 start...


Time:2016/9/1 16:03:43-Trace>>OnEntitySyncQueue execute count:1, success:145/total 146, fail:0 start...


Time:2016/9/1 16:03:48-Trace>>OnEntitySyncQueue execute count:1, success:146/total 147, fail:0 start...


Time:2016/9/1 16:03:50-Trace>>OnEntitySyncQueue execute count:1, success:147/total 148, fail:0 start...


Time:2016/9/1 16:03:55-Trace>>OnEntitySyncQueue execute count:1, success:148/total 149, fail:0 start...


Time:2016/9/1 16:03:55-Trace>>Action-1008 Uid:2 access timeout 4905.2806/500ms.


Time:2016/9/1 16:04:04-Trace>>OnEntitySyncQueue execute count:1, success:149/total 150, fail:0 start...


Time:2016/9/1 16:04:19-Trace>>OnEntitySyncQueue execute count:1, success:150/total 151, fail:0 start...


Time:2016/9/1 16:04:19-Trace>>Action-1008 Uid:1 access timeout 17186.983/500ms.


Time:2016/9/1 16:04:47-Trace>>OnEntitySyncQueue execute count:2, success:151/total 153, fail:0 start...


Time:2016/9/1 16:04:54-Trace>>OnEntitySyncQueue execute count:1, success:153/total 154, fail:0 start...


Time:2016/9/1 16:04:57-Trace>>OnEntitySyncQueue execute count:1, success:154/total 155, fail:0 start...


Time:2016/9/1 16:05:02-Trace>>OnEntitySyncQueue execute count:1, success:155/total 156, fail:0 start...


Time:2016/9/1 16:05:17-Trace>>OnEntitySyncQueue execute count:2, success:156/total 158, fail:0 start...


Time:2016/9/1 16:08:48-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/9/1 16:08:48-Trace>>OnEntitySyncQueue execute count:3, success:51/total 54, fail:0 start...


