Time:2016/9/20 14:00:00-Trace>>OnEntitySyncQueue execute count:2, success:325/total 328, fail:0 start...


Time:2016/9/20 14:10:00-Trace>>OnEntitySyncQueue execute count:2, success:327/total 330, fail:0 start...


Time:2016/9/20 14:11:28-Trace>>Action-1004 Uid:59 access timeout 1070.0015/500ms.


Time:2016/9/20 14:11:28-Trace>>OnEntitySyncQueue execute count:1, success:329/total 331, fail:0 start...


Time:2016/9/20 14:14:30-Trace>>OnEntitySyncQueue execute count:1, success:330/total 332, fail:0 start...


Time:2016/9/20 14:17:39-Trace>>OnEntitySyncQueue execute count:1, success:331/total 333, fail:0 start...


Time:2016/9/20 14:17:47-Trace>>OnEntitySyncQueue execute count:1, success:332/total 334, fail:0 start...


Time:2016/9/20 14:17:48-Trace>>OnEntitySyncQueue execute count:1, success:333/total 335, fail:0 start...


Time:2016/9/20 14:17:50-Trace>>OnEntitySyncQueue execute count:1, success:334/total 336, fail:0 start...


Time:2016/9/20 14:17:51-Trace>>OnEntitySyncQueue execute count:1, success:335/total 338, fail:0 start...


Time:2016/9/20 14:17:57-Trace>>OnEntitySyncQueue execute count:1, success:336/total 339, fail:0 start...


Time:2016/9/20 14:18:02-Trace>>OnEntitySyncQueue execute count:1, success:337/total 340, fail:0 start...


Time:2016/9/20 14:18:07-Trace>>OnEntitySyncQueue execute count:1, success:338/total 341, fail:0 start...


Time:2016/9/20 14:18:44-Trace>>OnEntitySyncQueue execute count:1, success:339/total 342, fail:0 start...


Time:2016/9/20 14:19:13-Trace>>OnEntitySyncQueue execute count:1, success:340/total 343, fail:0 start...


Time:2016/9/20 14:19:14-Trace>>OnEntitySyncQueue execute count:1, success:341/total 344, fail:0 start...


Time:2016/9/20 14:19:22-Trace>>OnEntitySyncQueue execute count:1, success:342/total 345, fail:0 start...


Time:2016/9/20 14:19:25-Trace>>OnEntitySyncQueue execute count:1, success:343/total 346, fail:0 start...


Time:2016/9/20 14:19:27-Trace>>OnEntitySyncQueue execute count:1, success:344/total 347, fail:0 start...


Time:2016/9/20 14:19:29-Trace>>OnEntitySyncQueue execute count:1, success:345/total 348, fail:0 start...


Time:2016/9/20 14:19:30-Trace>>OnEntitySyncQueue execute count:1, success:346/total 349, fail:0 start...


Time:2016/9/20 14:19:31-Trace>>OnEntitySyncQueue execute count:1, success:347/total 350, fail:0 start...


Time:2016/9/20 14:19:33-Trace>>OnEntitySyncQueue execute count:1, success:348/total 351, fail:0 start...


Time:2016/9/20 14:19:34-Trace>>OnEntitySyncQueue execute count:1, success:349/total 352, fail:0 start...


Time:2016/9/20 14:19:37-Trace>>OnEntitySyncQueue execute count:1, success:350/total 353, fail:0 start...


Time:2016/9/20 14:19:42-Trace>>OnEntitySyncQueue execute count:1, success:351/total 354, fail:0 start...


Time:2016/9/20 14:20:00-Trace>>OnEntitySyncQueue execute count:2, success:352/total 356, fail:0 start...


Time:2016/9/20 14:21:14-Trace>>OnEntitySyncQueue execute count:1, success:354/total 357, fail:0 start...


