Time:2016/8/16 15:09:39-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/16 15:14:43-Trace>>OnEntitySyncQueue execute count:17, success:51/total 68, fail:0 start...


Time:2016/8/16 15:14:55-Trace>>OnEntitySyncQueue execute count:2, success:68/total 70, fail:0 start...


Time:2016/8/16 15:14:58-Trace>>OnEntitySyncQueue execute count:2, success:70/total 72, fail:0 start...


Time:2016/8/16 15:16:14-Trace>>OnEntitySyncQueue execute count:2, success:72/total 74, fail:0 start...


Time:2016/8/16 15:16:17-Trace>>OnEntitySyncQueue execute count:2, success:74/total 76, fail:0 start...


Time:2016/8/16 15:17:15-Trace>>OnEntitySyncQueue execute count:2, success:76/total 78, fail:0 start...


Time:2016/8/16 15:17:19-Trace>>OnEntitySyncQueue execute count:2, success:78/total 80, fail:0 start...


Time:2016/8/16 15:20:42-Trace>>OnEntitySyncQueue execute count:2, success:80/total 82, fail:0 start...


Time:2016/8/16 15:20:51-Trace>>OnEntitySyncQueue execute count:1, success:82/total 83, fail:0 start...


Time:2016/8/16 15:21:27-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/16 15:21:39-Trace>>OnEntitySyncQueue execute count:17, success:51/total 68, fail:0 start...


Time:2016/8/16 15:21:45-Trace>>OnEntitySyncQueue execute count:1, success:68/total 69, fail:0 start...


Time:2016/8/16 15:21:59-Trace>>OnEntitySyncQueue execute count:2, success:69/total 71, fail:0 start...


Time:2016/8/16 15:22:03-Trace>>OnEntitySyncQueue execute count:2, success:71/total 73, fail:0 start...


Time:2016/8/16 15:22:04-Trace>>OnEntitySyncQueue execute count:1, success:73/total 74, fail:0 start...


Time:2016/8/16 15:22:04-Trace>>OnEntitySyncQueue execute count:2, success:74/total 76, fail:0 start...


Time:2016/8/16 15:22:13-Trace>>OnEntitySyncQueue execute count:2, success:76/total 78, fail:0 start...


Time:2016/8/16 15:22:46-Trace>>Action-1301 Uid:5 access timeout 63048.6062/500ms.


Time:2016/8/16 15:22:46-Trace>>OnEntitySyncQueue execute count:1, success:78/total 79, fail:0 start...


Time:2016/8/16 15:22:46-Trace>>OnEntitySyncQueue execute count:1, success:79/total 80, fail:0 start...


Time:2016/8/16 15:22:51-Trace>>OnEntitySyncQueue execute count:2, success:80/total 82, fail:0 start...


Time:2016/8/16 15:23:17-Trace>>OnEntitySyncQueue execute count:2, success:82/total 84, fail:0 start...


Time:2016/8/16 15:23:37-Trace>>OnEntitySyncQueue execute count:1, success:84/total 85, fail:0 start...


Time:2016/8/16 15:23:38-Trace>>OnEntitySyncQueue execute count:1, success:85/total 86, fail:0 start...


