Time:2016/8/31 16:00:21-Trace>>OnEntitySyncQueue execute count:67, success:0/total 67, fail:0 start...


Time:2016/8/31 16:01:30-Trace>>OnEntitySyncQueue execute count:18, success:67/total 85, fail:0 start...


Time:2016/8/31 16:01:30-Trace>>OnEntitySyncQueue execute count:1, success:85/total 86, fail:0 start...


Time:2016/8/31 16:06:12-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/31 16:06:12-Trace>>OnEntitySyncQueue execute count:16, success:51/total 67, fail:0 start...


Time:2016/8/31 16:16:42-Trace>>Action-1004 Uid:3 access timeout 1143.0653/500ms.


Time:2016/8/31 16:16:42-Trace>>OnEntitySyncQueue execute count:18, success:67/total 85, fail:0 start...


Time:2016/8/31 16:16:44-Trace>>OnEntitySyncQueue execute count:2, success:85/total 87, fail:0 start...


Time:2016/8/31 16:16:44-Trace>>Action-1008 Uid:3 access timeout 1256.0718/500ms.


Time:2016/8/31 16:16:46-Trace>>OnEntitySyncQueue execute count:1, success:87/total 88, fail:0 start...


Time:2016/8/31 16:23:37-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/31 16:23:38-Trace>>OnEntitySyncQueue execute count:16, success:51/total 67, fail:0 start...


Time:2016-08-31 16:48:39:413-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2016-08-31 16:50:05:730-Trace>>OnEntitySyncQueue execute count:1, success:1/total 2, fail:0 start...


Time:2016-08-31 16:51:04:807-Trace>>OnEntitySyncQueue execute count:1, success:2/total 3, fail:0 start...


Time:2016-08-31 16:51:05:915-Trace>>OnEntitySyncQueue execute count:16, success:3/total 19, fail:0 start...


Time:2016-08-31 16:51:06:142-Trace>>OnEntitySyncQueue execute count:1, success:19/total 21, fail:0 start...


Time:2016-08-31 16:51:48:986-Trace>>OnEntitySyncQueue execute count:2, success:20/total 24, fail:0 start...


Time:2016-08-31 16:52:30:270-Trace>>OnEntitySyncQueue execute count:1, success:22/total 25, fail:0 start...


Time:2016-08-31 16:52:52:659-Trace>>OnEntitySyncQueue execute count:1, success:23/total 26, fail:0 start...


Time:2016-08-31 16:52:52:759-Trace>>OnEntitySyncQueue execute count:2, success:24/total 30, fail:0 start...


Time:2016-08-31 16:52:53:199-Trace>>OnEntitySyncQueue execute count:1, success:26/total 32, fail:0 start...


Time:2016-08-31 16:52:54:508-Trace>>OnEntitySyncQueue execute count:1, success:27/total 33, fail:0 start...


Time:2016-08-31 16:57:08:886-Trace>>OnEntitySyncQueue execute count:2, success:0/total 4, fail:0 start...


Time:2016-08-31 16:57:22:312-Trace>>OnEntitySyncQueue execute count:1, success:2/total 5, fail:0 start...


