Time:2016/8/23 10:08:08-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/23 10:18:35-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/23 10:21:30-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/23 10:28:56-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/23 10:29:08-Trace>>OnEntitySyncQueue execute count:1, success:51/total 52, fail:0 start...


Time:2016/8/23 10:29:08-Trace>>OnEntitySyncQueue execute count:2, success:52/total 54, fail:0 start...


Time:2016/8/23 10:29:09-Trace>>OnEntitySyncQueue execute count:1, success:54/total 55, fail:0 start...


Time:2016/8/23 10:29:09-Trace>>OnEntitySyncQueue execute count:51, success:55/total 106, fail:0 start...


Time:2016/8/23 10:29:15-Trace>>OnEntitySyncQueue execute count:2, success:106/total 108, fail:0 start...


Time:2016/8/23 10:29:39-Trace>>OnEntitySyncQueue execute count:3, success:108/total 111, fail:0 start...


Time:2016/8/23 10:29:39-Trace>>OnEntitySyncQueue execute count:1, success:111/total 112, fail:0 start...


Time:2016/8/23 10:30:04-Trace>>OnEntitySyncQueue execute count:2, success:112/total 114, fail:0 start...


Time:2016/8/23 10:30:05-Trace>>OnEntitySyncQueue execute count:1, success:114/total 115, fail:0 start...


Time:2016/8/23 10:30:08-Trace>>OnEntitySyncQueue execute count:1, success:115/total 116, fail:0 start...


Time:2016/8/23 10:30:13-Trace>>OnEntitySyncQueue execute count:1, success:116/total 117, fail:0 start...


Time:2016/8/23 10:30:13-Trace>>OnEntitySyncQueue execute count:1, success:117/total 118, fail:0 start...


Time:2016/8/23 10:30:13-Trace>>OnEntitySyncQueue execute count:1, success:118/total 119, fail:0 start...


Time:2016/8/23 10:30:13-Trace>>OnEntitySyncQueue execute count:1, success:119/total 120, fail:0 start...


Time:2016/8/23 10:30:14-Trace>>OnEntitySyncQueue execute count:1, success:120/total 121, fail:0 start...


Time:2016/8/23 10:30:14-Trace>>OnEntitySyncQueue execute count:1, success:121/total 122, fail:0 start...


Time:2016/8/23 10:30:21-Trace>>OnEntitySyncQueue execute count:1, success:122/total 123, fail:0 start...


Time:2016/8/23 10:30:32-Trace>>OnEntitySyncQueue execute count:2, success:123/total 125, fail:0 start...


Time:2016/8/23 10:30:33-Trace>>OnEntitySyncQueue execute count:1, success:125/total 126, fail:0 start...


Time:2016/8/23 10:30:40-Trace>>OnEntitySyncQueue execute count:1, success:126/total 127, fail:0 start...


Time:2016/8/23 10:30:45-Trace>>OnEntitySyncQueue execute count:2, success:127/total 129, fail:0 start...


Time:2016/8/23 10:30:51-Trace>>OnEntitySyncQueue execute count:3, success:129/total 132, fail:0 start...


Time:2016/8/23 10:30:54-Trace>>OnEntitySyncQueue execute count:2, success:132/total 134, fail:0 start...


Time:2016/8/23 10:31:16-Trace>>OnEntitySyncQueue execute count:1, success:134/total 135, fail:0 start...


