Time:2016/8/15 17:00:20-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/15 17:00:41-Trace>>OnEntitySyncQueue execute count:12, success:51/total 63, fail:0 start...


Time:2016/8/15 17:00:58-Trace>>OnEntitySyncQueue execute count:2, success:63/total 65, fail:0 start...


Time:2016/8/15 17:01:14-Trace>>OnEntitySyncQueue execute count:1, success:65/total 66, fail:0 start...


Time:2016/8/15 17:03:21-Trace>>OnEntitySyncQueue execute count:1, success:66/total 68, fail:0 start...


Time:2016/8/15 17:05:23-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/15 17:07:42-Trace>>OnEntitySyncQueue execute count:12, success:51/total 63, fail:0 start...


Time:2016/8/15 17:07:45-Trace>>OnEntitySyncQueue execute count:1, success:63/total 64, fail:0 start...


Time:2016/8/15 17:12:06-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/15 17:12:22-Trace>>OnEntitySyncQueue execute count:12, success:51/total 63, fail:0 start...


Time:2016/8/15 17:12:28-Trace>>OnEntitySyncQueue execute count:1, success:63/total 64, fail:0 start...


Time:2016/8/15 17:17:28-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/15 17:17:40-Trace>>OnEntitySyncQueue execute count:12, success:51/total 63, fail:0 start...


Time:2016/8/15 17:17:56-Trace>>Action-1008 Uid:5 access timeout 18012.0303/500ms.


Time:2016/8/15 17:18:27-Trace>>OnEntitySyncQueue execute count:2, success:63/total 65, fail:0 start...


Time:2016/8/15 17:19:26-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/15 17:19:45-Trace>>OnEntitySyncQueue execute count:12, success:51/total 63, fail:0 start...


Time:2016/8/15 17:20:27-Trace>>OnEntitySyncQueue execute count:2, success:63/total 65, fail:0 start...


Time:2016/8/15 17:22:50-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/15 17:23:29-Trace>>OnEntitySyncQueue execute count:12, success:51/total 63, fail:0 start...


Time:2016/8/15 17:23:29-Trace>>OnEntitySyncQueue execute count:1, success:63/total 64, fail:0 start...


Time:2016/8/15 17:24:44-Trace>>OnEntitySyncQueue execute count:2, success:64/total 66, fail:0 start...


Time:2016/8/15 17:28:36-Trace>>OnEntitySyncQueue execute count:2, success:66/total 68, fail:0 start...


Time:2016/8/15 17:36:38-Trace>>OnEntitySyncQueue execute count:2, success:68/total 70, fail:0 start...


Time:2016/8/15 17:36:48-Trace>>OnEntitySyncQueue execute count:1, success:70/total 71, fail:0 start...


Time:2016/8/15 17:36:49-Trace>>Action-1110 Uid:2 access timeout 1018.0582/500ms.


Time:2016/8/15 17:36:49-Trace>>OnEntitySyncQueue execute count:1, success:71/total 72, fail:0 start...


Time:2016/8/15 17:38:11-Trace>>OnEntitySyncQueue execute count:1, success:72/total 73, fail:0 start...


Time:2016/8/15 17:38:12-Trace>>OnEntitySyncQueue execute count:2, success:73/total 75, fail:0 start...


Time:2016/8/15 17:38:15-Trace>>OnEntitySyncQueue execute count:2, success:75/total 77, fail:0 start...


Time:2016/8/15 17:38:54-Trace>>OnEntitySyncQueue execute count:2, success:77/total 79, fail:0 start...


Time:2016/8/15 17:38:58-Trace>>OnEntitySyncQueue execute count:2, success:79/total 81, fail:0 start...


Time:2016/8/15 17:39:46-Trace>>OnEntitySyncQueue execute count:2, success:81/total 83, fail:0 start...


Time:2016/8/15 17:39:53-Trace>>OnEntitySyncQueue execute count:2, success:83/total 85, fail:0 start...


Time:2016/8/15 17:48:16-Trace>>OnEntitySyncQueue execute count:2, success:85/total 87, fail:0 start...


Time:2016/8/15 17:48:21-Trace>>OnEntitySyncQueue execute count:2, success:87/total 89, fail:0 start...


Time:2016/8/15 17:49:24-Trace>>OnEntitySyncQueue execute count:2, success:89/total 91, fail:0 start...


Time:2016/8/15 17:49:24-Trace>>OnEntitySyncQueue execute count:2, success:91/total 93, fail:0 start...


Time:2016/8/15 17:49:30-Trace>>OnEntitySyncQueue execute count:2, success:93/total 95, fail:0 start...


Time:2016/8/15 17:50:27-Trace>>OnEntitySyncQueue execute count:2, success:95/total 97, fail:0 start...


Time:2016/8/15 17:51:36-Trace>>OnEntitySyncQueue execute count:2, success:97/total 99, fail:0 start...


Time:2016/8/15 17:51:39-Trace>>OnEntitySyncQueue execute count:2, success:99/total 101, fail:0 start...


Time:2016/8/15 17:52:33-Trace>>OnEntitySyncQueue execute count:2, success:101/total 103, fail:0 start...


Time:2016/8/15 17:52:39-Trace>>OnEntitySyncQueue execute count:2, success:103/total 105, fail:0 start...


Time:2016/8/15 17:56:29-Trace>>OnEntitySyncQueue execute count:2, success:105/total 107, fail:0 start...


