Time:2016/8/8 11:01:55-Trace>>OnEntitySyncQueue execute count:2, success:91/total 93, fail:0 start...


Time:2016/8/8 11:02:30-Trace>>OnEntitySyncQueue execute count:1, success:93/total 94, fail:0 start...


Time:2016/8/8 11:02:32-Trace>>OnEntitySyncQueue execute count:1, success:94/total 95, fail:0 start...


Time:2016/8/8 11:08:25-Trace>>OnEntitySyncQueue execute count:13, success:0/total 13, fail:0 start...


Time:2016/8/8 11:08:26-Trace>>OnEntitySyncQueue execute count:1, success:13/total 14, fail:0 start...


Time:2016/8/8 11:08:58-Trace>>OnEntitySyncQueue execute count:2, success:14/total 16, fail:0 start...


Time:2016/8/8 11:09:31-Trace>>OnEntitySyncQueue execute count:3, success:16/total 19, fail:0 start...


Time:2016/8/8 11:09:34-Trace>>OnEntitySyncQueue execute count:1, success:19/total 20, fail:0 start...


Time:2016/8/8 11:09:34-Trace>>OnEntitySyncQueue execute count:1, success:20/total 21, fail:0 start...


Time:2016/8/8 11:09:57-Trace>>OnEntitySyncQueue execute count:3, success:21/total 24, fail:0 start...


Time:2016/8/8 11:09:58-Trace>>OnEntitySyncQueue execute count:2, success:24/total 26, fail:0 start...


Time:2016/8/8 11:10:02-Trace>>OnEntitySyncQueue execute count:3, success:26/total 29, fail:0 start...


Time:2016/8/8 11:10:03-Trace>>OnEntitySyncQueue execute count:2, success:29/total 31, fail:0 start...


Time:2016/8/8 11:10:03-Trace>>OnEntitySyncQueue execute count:3, success:31/total 34, fail:0 start...


Time:2016/8/8 11:10:04-Trace>>OnEntitySyncQueue execute count:2, success:34/total 36, fail:0 start...


Time:2016/8/8 11:10:17-Trace>>OnEntitySyncQueue execute count:2, success:36/total 38, fail:0 start...


Time:2016/8/8 11:13:50-Trace>>OnEntitySyncQueue execute count:3, success:38/total 41, fail:0 start...


Time:2016/8/8 11:18:05-Trace>>OnEntitySyncQueue execute count:2, success:41/total 43, fail:0 start...


Time:2016/8/8 11:18:09-Trace>>OnEntitySyncQueue execute count:3, success:43/total 46, fail:0 start...


Time:2016/8/8 11:18:15-Trace>>OnEntitySyncQueue execute count:3, success:46/total 49, fail:0 start...


Time:2016/8/8 11:20:00-Trace>>OnEntitySyncQueue execute count:1, success:49/total 50, fail:0 start...


Time:2016/8/8 11:20:00-Trace>>OnEntitySyncQueue execute count:1, success:50/total 51, fail:0 start...


Time:2016/8/8 11:20:03-Trace>>OnEntitySyncQueue execute count:3, success:51/total 54, fail:0 start...


Time:2016/8/8 11:20:10-Trace>>OnEntitySyncQueue execute count:3, success:54/total 57, fail:0 start...


Time:2016/8/8 11:20:16-Trace>>OnEntitySyncQueue execute count:2, success:57/total 59, fail:0 start...


Time:2016/8/8 11:20:19-Trace>>OnEntitySyncQueue execute count:3, success:59/total 62, fail:0 start...


Time:2016/8/8 11:20:45-Trace>>OnEntitySyncQueue execute count:1, success:62/total 63, fail:0 start...


Time:2016/8/8 11:20:45-Trace>>OnEntitySyncQueue execute count:1, success:63/total 64, fail:0 start...


Time:2016/8/8 11:21:35-Trace>>OnEntitySyncQueue execute count:2, success:64/total 66, fail:0 start...


Time:2016/8/8 11:21:48-Trace>>OnEntitySyncQueue execute count:2, success:66/total 68, fail:0 start...


Time:2016/8/8 11:21:51-Trace>>OnEntitySyncQueue execute count:3, success:68/total 71, fail:0 start...


Time:2016/8/8 11:21:52-Trace>>OnEntitySyncQueue execute count:2, success:71/total 73, fail:0 start...


Time:2016/8/8 11:21:53-Trace>>OnEntitySyncQueue execute count:3, success:73/total 76, fail:0 start...


Time:2016/8/8 11:21:54-Trace>>OnEntitySyncQueue execute count:2, success:76/total 78, fail:0 start...


Time:2016/8/8 11:22:31-Trace>>OnEntitySyncQueue execute count:3, success:78/total 81, fail:0 start...


Time:2016/8/8 11:22:34-Trace>>OnEntitySyncQueue execute count:2, success:81/total 83, fail:0 start...


Time:2016/8/8 11:22:36-Trace>>OnEntitySyncQueue execute count:3, success:83/total 86, fail:0 start...


Time:2016/8/8 11:22:36-Trace>>OnEntitySyncQueue execute count:2, success:86/total 88, fail:0 start...


Time:2016/8/8 11:22:36-Trace>>OnEntitySyncQueue execute count:3, success:88/total 91, fail:0 start...


Time:2016/8/8 11:22:41-Trace>>OnEntitySyncQueue execute count:2, success:91/total 93, fail:0 start...


Time:2016/8/8 11:29:56-Trace>>OnEntitySyncQueue execute count:2, success:93/total 95, fail:0 start...


Time:2016/8/8 11:31:23-Trace>>OnEntitySyncQueue execute count:2, success:95/total 97, fail:0 start...


Time:2016/8/8 11:59:31-Trace>>OnEntitySyncQueue execute count:2, success:97/total 99, fail:0 start...


