Time:2016/9/10 16:00:00-Trace>>OnEntitySyncQueue execute count:2, success:171/total 173, fail:0 start...


Time:2016/9/10 16:02:21-Trace>>OnEntitySyncQueue execute count:1, success:173/total 174, fail:0 start...


Time:2016/9/10 16:02:41-Trace>>OnEntitySyncQueue execute count:1, success:174/total 175, fail:0 start...


Time:2016/9/10 16:04:17-Trace>>OnEntitySyncQueue execute count:1, success:175/total 176, fail:0 start...


Time:2016/9/10 16:04:24-Trace>>OnEntitySyncQueue execute count:1, success:176/total 177, fail:0 start...


Time:2016/9/10 16:06:56-Trace>>OnEntitySyncQueue execute count:1, success:177/total 178, fail:0 start...


Time:2016/9/10 16:08:56-Trace>>OnEntitySyncQueue execute count:1, success:178/total 179, fail:0 start...


Time:2016/9/10 16:09:21-Trace>>OnEntitySyncQueue execute count:1, success:179/total 180, fail:0 start...


Time:2016/9/10 16:09:27-Trace>>OnEntitySyncQueue execute count:1, success:180/total 181, fail:0 start...


Time:2016/9/10 16:10:00-Trace>>OnEntitySyncQueue execute count:2, success:181/total 183, fail:0 start...


Time:2016/9/10 16:11:21-Trace>>OnEntitySyncQueue execute count:1, success:183/total 184, fail:0 start...


Time:2016/9/10 16:11:27-Trace>>OnEntitySyncQueue execute count:1, success:184/total 185, fail:0 start...


Time:2016/9/10 16:14:34-Trace>>OnEntitySyncQueue execute count:1, success:185/total 186, fail:0 start...


Time:2016/9/10 16:14:35-Trace>>Action-1004 Uid:48 access timeout 1114.0637/500ms.


Time:2016/9/10 16:14:36-Trace>>OnEntitySyncQueue execute count:1, success:186/total 187, fail:0 start...


Time:2016/9/10 16:15:40-Trace>>OnEntitySyncQueue execute count:1, success:187/total 188, fail:0 start...


Time:2016/9/10 16:15:54-Trace>>OnEntitySyncQueue execute count:1, success:188/total 189, fail:0 start...


Time:2016/9/10 16:18:10-Trace>>OnEntitySyncQueue execute count:1, success:189/total 190, fail:0 start...


Time:2016/9/10 16:18:16-Trace>>OnEntitySyncQueue execute count:1, success:190/total 191, fail:0 start...


Time:2016/9/10 16:18:44-Trace>>OnEntitySyncQueue execute count:1, success:191/total 192, fail:0 start...


Time:2016/9/10 16:19:54-Trace>>OnEntitySyncQueue execute count:1, success:192/total 193, fail:0 start...


Time:2016/9/10 16:20:00-Trace>>OnEntitySyncQueue execute count:2, success:193/total 195, fail:0 start...


Time:2016/9/10 16:24:09-Trace>>Action-1004 Uid:36 access timeout 1072.0613/500ms.


Time:2016/9/10 16:24:09-Trace>>OnEntitySyncQueue execute count:1, success:195/total 196, fail:0 start...


Time:2016/9/10 16:24:09-Trace>>OnEntitySyncQueue execute count:1, success:196/total 197, fail:0 start...


Time:2016/9/10 16:26:00-Trace>>OnEntitySyncQueue execute count:1, success:197/total 198, fail:0 start...


Time:2016/9/10 16:26:06-Trace>>OnEntitySyncQueue execute count:1, success:198/total 199, fail:0 start...


Time:2016/9/10 16:27:22-Trace>>OnEntitySyncQueue execute count:1, success:199/total 200, fail:0 start...


Time:2016/9/10 16:28:30-Trace>>OnEntitySyncQueue execute count:1, success:200/total 201, fail:0 start...


Time:2016/9/10 16:28:38-Trace>>OnEntitySyncQueue execute count:2, success:201/total 203, fail:0 start...


Time:2016/9/10 16:30:00-Trace>>OnEntitySyncQueue execute count:2, success:203/total 205, fail:0 start...


Time:2016/9/10 16:30:35-Trace>>OnEntitySyncQueue execute count:1, success:205/total 206, fail:0 start...


Time:2016/9/10 16:30:59-Trace>>OnEntitySyncQueue execute count:1, success:206/total 207, fail:0 start...


Time:2016/9/10 16:36:28-Trace>>OnEntitySyncQueue execute count:1, success:207/total 208, fail:0 start...


Time:2016/9/10 16:36:30-Trace>>OnEntitySyncQueue execute count:1, success:208/total 209, fail:0 start...


Time:2016/9/10 16:36:36-Trace>>Action-1004 Uid:36 access timeout 1069.0612/500ms.


Time:2016/9/10 16:36:36-Trace>>OnEntitySyncQueue execute count:1, success:209/total 210, fail:0 start...


Time:2016/9/10 16:37:06-Trace>>OnEntitySyncQueue execute count:1, success:210/total 211, fail:0 start...


Time:2016/9/10 16:40:00-Trace>>OnEntitySyncQueue execute count:2, success:211/total 213, fail:0 start...


Time:2016/9/10 16:40:20-Trace>>OnEntitySyncQueue execute count:1, success:213/total 214, fail:0 start...


Time:2016/9/10 16:40:26-Trace>>OnEntitySyncQueue execute count:1, success:214/total 215, fail:0 start...


Time:2016/9/10 16:41:31-Trace>>OnEntitySyncQueue execute count:1, success:215/total 216, fail:0 start...


Time:2016/9/10 16:41:37-Trace>>OnEntitySyncQueue execute count:1, success:216/total 217, fail:0 start...


Time:2016/9/10 16:45:56-Trace>>OnEntitySyncQueue execute count:1, success:217/total 218, fail:0 start...


Time:2016/9/10 16:46:04-Trace>>Action-1004 Uid:36 access timeout 1114.0637/500ms.


Time:2016/9/10 16:46:04-Trace>>OnEntitySyncQueue execute count:1, success:218/total 219, fail:0 start...


Time:2016/9/10 16:46:04-Trace>>OnEntitySyncQueue execute count:1, success:219/total 220, fail:0 start...


Time:2016/9/10 16:50:00-Trace>>OnEntitySyncQueue execute count:2, success:220/total 222, fail:0 start...


Time:2016/9/10 16:59:36-Trace>>OnEntitySyncQueue execute count:1, success:222/total 223, fail:0 start...


