Time:2016/8/30 11:02:44-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/30 11:03:33-Trace>>OnEntitySyncQueue execute count:11, success:51/total 62, fail:0 start...


Time:2016/8/30 11:03:33-Trace>>OnEntitySyncQueue execute count:2, success:62/total 64, fail:0 start...


Time:2016/8/30 11:03:39-Trace>>OnEntitySyncQueue execute count:2, success:64/total 66, fail:0 start...


Time:2016/8/30 11:03:43-Trace>>OnEntitySyncQueue execute count:2, success:66/total 68, fail:0 start...


Time:2016/8/30 11:04:57-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/30 11:05:03-Trace>>OnEntitySyncQueue execute count:11, success:51/total 62, fail:0 start...


Time:2016/8/30 11:05:10-Trace>>OnEntitySyncQueue execute count:1, success:62/total 63, fail:0 start...


Time:2016/8/30 11:06:12-Trace>>OnEntitySyncQueue execute count:1, success:63/total 64, fail:0 start...


Time:2016/8/30 11:06:23-Trace>>Action-3002 Uid:10 access timeout 11932.6825/500ms.


Time:2016/8/30 11:06:23-Trace>>Action-3001 Uid:10 access timeout 11937.6828/500ms.


Time:2016/8/30 11:07:24-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/30 11:07:33-Trace>>OnEntitySyncQueue execute count:11, success:51/total 62, fail:0 start...


Time:2016/8/30 11:07:33-Trace>>OnEntitySyncQueue execute count:2, success:62/total 64, fail:0 start...


Time:2016/8/30 11:07:38-Trace>>OnEntitySyncQueue execute count:1, success:64/total 65, fail:0 start...


Time:2016/8/30 11:07:42-Trace>>Action-3002 Uid:10 access timeout 5766.3298/500ms.


Time:2016/8/30 11:07:42-Trace>>Action-3001 Uid:10 access timeout 5805.3321/500ms.


Time:2016/8/30 11:07:49-Trace>>OnEntitySyncQueue execute count:1, success:65/total 66, fail:0 start...


Time:2016/8/30 11:08:06-Trace>>OnEntitySyncQueue execute count:2, success:66/total 68, fail:0 start...


Time:2016/8/30 11:08:14-Trace>>OnEntitySyncQueue execute count:53, success:68/total 121, fail:0 start...


Time:2016/8/30 11:08:17-Trace>>OnEntitySyncQueue execute count:2, success:121/total 123, fail:0 start...


Time:2016/8/30 11:08:25-Trace>>OnEntitySyncQueue execute count:1, success:123/total 124, fail:0 start...


Time:2016/8/30 11:08:31-Trace>>OnEntitySyncQueue execute count:2, success:124/total 126, fail:0 start...


Time:2016/8/30 11:08:33-Trace>>OnEntitySyncQueue execute count:2, success:126/total 128, fail:0 start...


Time:2016/8/30 11:08:35-Trace>>OnEntitySyncQueue execute count:2, success:128/total 130, fail:0 start...


Time:2016/8/30 11:08:37-Trace>>OnEntitySyncQueue execute count:2, success:130/total 132, fail:0 start...


Time:2016/8/30 11:08:40-Trace>>OnEntitySyncQueue execute count:2, success:132/total 134, fail:0 start...


Time:2016/8/30 11:08:43-Trace>>OnEntitySyncQueue execute count:2, success:134/total 136, fail:0 start...


Time:2016/8/30 11:08:45-Trace>>OnEntitySyncQueue execute count:2, success:136/total 138, fail:0 start...


