Time:2016/8/24 17:05:06-Trace>>OnEntitySyncQueue execute count:18, success:51/total 69, fail:0 start...


Time:2016/8/24 17:05:07-Trace>>Action-1008 Uid:13 access timeout 1167.0668/500ms.


Time:2016/8/24 17:05:07-Trace>>OnEntitySyncQueue execute count:1, success:69/total 70, fail:0 start...


Time:2016/8/24 17:05:12-Trace>>OnEntitySyncQueue execute count:1, success:70/total 71, fail:0 start...


Time:2016/8/24 17:07:54-Trace>>OnEntitySyncQueue execute count:2, success:71/total 73, fail:0 start...


Time:2016/8/24 17:07:55-Trace>>OnEntitySyncQueue execute count:1, success:73/total 74, fail:0 start...


Time:2016/8/24 17:08:06-Trace>>OnEntitySyncQueue execute count:1, success:74/total 75, fail:0 start...


Time:2016/8/24 17:11:36-Trace>>OnEntitySyncQueue execute count:1, success:75/total 76, fail:0 start...


Time:2016/8/24 17:12:40-Trace>>OnEntitySyncQueue execute count:1, success:76/total 77, fail:0 start...


Time:2016/8/24 17:20:11-Trace>>OnEntitySyncQueue execute count:2, success:77/total 79, fail:0 start...


Time:2016/8/24 17:21:10-Trace>>OnEntitySyncQueue execute count:1, success:79/total 80, fail:0 start...


Time:2016/8/24 17:32:54-Trace>>OnEntitySyncQueue execute count:2, success:80/total 82, fail:0 start...


Time:2016/8/24 17:32:55-Trace>>OnEntitySyncQueue execute count:1, success:82/total 83, fail:0 start...


Time:2016/8/24 17:33:17-Trace>>OnEntitySyncQueue execute count:1, success:83/total 84, fail:0 start...


Time:2016/8/24 17:33:30-Trace>>OnEntitySyncQueue execute count:1, success:84/total 85, fail:0 start...


Time:2016/8/24 17:33:42-Trace>>OnEntitySyncQueue execute count:2, success:85/total 87, fail:0 start...


Time:2016/8/24 17:34:48-Trace>>OnEntitySyncQueue execute count:1, success:87/total 88, fail:0 start...


Time:2016/8/24 17:34:48-Trace>>OnEntitySyncQueue execute count:2, success:88/total 90, fail:0 start...


Time:2016/8/24 17:37:06-Trace>>OnEntitySyncQueue execute count:1, success:90/total 91, fail:0 start...


Time:2016/8/24 17:37:08-Trace>>OnEntitySyncQueue execute count:1, success:91/total 92, fail:0 start...


Time:2016/8/24 17:37:27-Trace>>OnEntitySyncQueue execute count:1, success:92/total 93, fail:0 start...


Time:2016/8/24 17:37:29-Trace>>Action-1110 Uid:14 access timeout 1114.0637/500ms.


Time:2016/8/24 17:37:29-Trace>>OnEntitySyncQueue execute count:1, success:93/total 94, fail:0 start...


Time:2016/8/24 17:37:33-Trace>>OnEntitySyncQueue execute count:2, success:94/total 96, fail:0 start...


Time:2016/8/24 17:40:18-Trace>>OnEntitySyncQueue execute count:1, success:96/total 97, fail:0 start...


Time:2016/8/24 17:43:05-Trace>>OnEntitySyncQueue execute count:1, success:97/total 98, fail:0 start...


Time:2016/8/24 17:58:27-Trace>>OnEntitySyncQueue execute count:1, success:98/total 99, fail:0 start...


Time:2016/8/24 17:58:27-Trace>>OnEntitySyncQueue execute count:2, success:99/total 101, fail:0 start...


Time:2016/8/24 17:58:46-Trace>>OnEntitySyncQueue execute count:1, success:101/total 102, fail:0 start...


