Time:2016/8/25 17:33:16-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/25 17:40:15-Trace>>OnEntitySyncQueue execute count:19, success:51/total 70, fail:0 start...


Time:2016/8/25 17:40:15-Trace>>OnEntitySyncQueue execute count:1, success:70/total 71, fail:0 start...


Time:2016/8/25 17:40:16-Trace>>Action-1008 Uid:14 access timeout 1134.0649/500ms.


Time:2016/8/25 17:40:17-Trace>>OnEntitySyncQueue execute count:1, success:71/total 72, fail:0 start...


Time:2016/8/25 17:40:36-Trace>>OnEntitySyncQueue execute count:1, success:72/total 73, fail:0 start...


Time:2016/8/25 17:40:51-Trace>>OnEntitySyncQueue execute count:2, success:73/total 75, fail:0 start...


Time:2016/8/25 17:43:08-Trace>>OnEntitySyncQueue execute count:1, success:75/total 76, fail:0 start...


Time:2016/8/25 17:43:25-Trace>>OnEntitySyncQueue execute count:2, success:76/total 78, fail:0 start...


Time:2016/8/25 17:43:28-Trace>>OnEntitySyncQueue execute count:1, success:78/total 79, fail:0 start...


Time:2016/8/25 17:43:29-Trace>>OnEntitySyncQueue execute count:1, success:79/total 80, fail:0 start...


Time:2016/8/25 17:43:48-Trace>>OnEntitySyncQueue execute count:1, success:80/total 81, fail:0 start...


Time:2016/8/25 17:44:03-Trace>>OnEntitySyncQueue execute count:1, success:81/total 82, fail:0 start...


Time:2016/8/25 17:44:03-Trace>>OnEntitySyncQueue execute count:2, success:82/total 84, fail:0 start...


Time:2016/8/25 17:44:05-Trace>>OnEntitySyncQueue execute count:1, success:84/total 85, fail:0 start...


Time:2016/8/25 17:44:28-Trace>>Action-1501 Uid:14 access timeout 17402.9954/500ms.


Time:2016/8/25 17:44:58-Trace>>OnEntitySyncQueue execute count:1, success:85/total 87, fail:0 start...


Time:2016/8/25 17:47:55-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/25 17:49:00-Trace>>OnEntitySyncQueue execute count:19, success:51/total 70, fail:0 start...


Time:2016/8/25 17:49:05-Trace>>OnEntitySyncQueue execute count:1, success:70/total 71, fail:0 start...


Time:2016/8/25 17:49:37-Trace>>OnEntitySyncQueue execute count:1, success:71/total 72, fail:0 start...


Time:2016/8/25 17:49:53-Trace>>OnEntitySyncQueue execute count:1, success:72/total 73, fail:0 start...


Time:2016/8/25 17:49:54-Trace>>Action-1501 Uid:14 access timeout 20318.1621/500ms.


Time:2016/8/25 17:51:46-Trace>>OnEntitySyncQueue execute count:2, success:73/total 75, fail:0 start...


Time:2016/8/25 17:51:50-Trace>>OnEntitySyncQueue execute count:1, success:75/total 76, fail:0 start...


Time:2016/8/25 17:53:40-Trace>>OnEntitySyncQueue execute count:1, success:76/total 77, fail:0 start...


Time:2016/8/25 17:55:12-Trace>>OnEntitySyncQueue execute count:2, success:77/total 79, fail:0 start...


Time:2016/8/25 17:56:06-Trace>>OnEntitySyncQueue execute count:1, success:79/total 80, fail:0 start...


Time:2016/8/25 17:56:16-Trace>>OnEntitySyncQueue execute count:2, success:80/total 82, fail:0 start...


Time:2016/8/25 17:56:18-Trace>>OnEntitySyncQueue execute count:1, success:82/total 83, fail:0 start...


Time:2016/8/25 17:56:54-Trace>>OnEntitySyncQueue execute count:1, success:83/total 84, fail:0 start...


Time:2016/8/25 17:57:00-Trace>>OnEntitySyncQueue execute count:2, success:84/total 86, fail:0 start...


Time:2016/8/25 17:57:16-Trace>>OnEntitySyncQueue execute count:1, success:86/total 87, fail:0 start...


Time:2016/8/25 17:57:18-Trace>>OnEntitySyncQueue execute count:1, success:87/total 88, fail:0 start...


Time:2016/8/25 17:59:45-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/25 17:59:45-Trace>>OnEntitySyncQueue execute count:19, success:51/total 70, fail:0 start...


Time:2016/8/25 17:59:48-Trace>>OnEntitySyncQueue execute count:1, success:70/total 71, fail:0 start...


