Time:2016/9/2 14:11:24-Trace>>Action-1004 Uid:3 access timeout 1138.0651/500ms.


Time:2016/9/2 14:11:24-Trace>>OnEntitySyncQueue execute count:1, success:55/total 56, fail:0 start...


Time:2016/9/2 14:11:36-Trace>>OnEntitySyncQueue execute count:1, success:56/total 57, fail:0 start...


Time:2016/9/2 14:11:36-Trace>>Action-1008 Uid:3 access timeout 1228.0703/500ms.


Time:2016/9/2 14:11:37-Trace>>OnEntitySyncQueue execute count:1, success:57/total 58, fail:0 start...


Time:2016/9/2 14:13:45-Trace>>OnEntitySyncQueue execute count:1, success:58/total 59, fail:0 start...


Time:2016/9/2 14:13:46-Trace>>OnEntitySyncQueue execute count:1, success:59/total 60, fail:0 start...


Time:2016/9/2 14:17:51-Trace>>Action-1004 Uid:2 access timeout 1078.0617/500ms.


Time:2016/9/2 14:17:51-Trace>>OnEntitySyncQueue execute count:1, success:60/total 61, fail:0 start...


Time:2016/9/2 14:17:52-Trace>>OnEntitySyncQueue execute count:1, success:61/total 62, fail:0 start...


Time:2016/9/2 14:18:05-Trace>>OnEntitySyncQueue execute count:1, success:62/total 63, fail:0 start...


Time:2016/9/2 14:18:07-Trace>>OnEntitySyncQueue execute count:1, success:63/total 64, fail:0 start...


Time:2016/9/2 14:18:16-Trace>>OnEntitySyncQueue execute count:1, success:64/total 65, fail:0 start...


Time:2016/9/2 14:18:18-Trace>>Action-1008 Uid:1 access timeout 1106.0632/500ms.


Time:2016/9/2 14:18:18-Trace>>OnEntitySyncQueue execute count:1, success:65/total 66, fail:0 start...


Time:2016/9/2 14:19:43-Trace>>OnEntitySyncQueue execute count:51, success:66/total 117, fail:0 start...


Time:2016/9/2 14:20:56-Trace>>OnEntitySyncQueue execute count:1, success:117/total 118, fail:0 start...


Time:2016/9/2 14:21:55-Trace>>OnEntitySyncQueue execute count:1, success:118/total 119, fail:0 start...


Time:2016/9/2 14:21:55-Trace>>OnEntitySyncQueue execute count:1, success:119/total 120, fail:0 start...


Time:2016/9/2 14:25:06-Trace>>Action-1100 Uid:1 access timeout 1135.065/500ms.


Time:2016/9/2 14:25:06-Trace>>OnEntitySyncQueue execute count:1, success:120/total 121, fail:0 start...


Time:2016/9/2 14:25:08-Trace>>OnEntitySyncQueue execute count:1, success:121/total 122, fail:0 start...


Time:2016/9/2 14:25:12-Trace>>OnEntitySyncQueue execute count:1, success:122/total 123, fail:0 start...


Time:2016/9/2 14:25:14-Trace>>OnEntitySyncQueue execute count:1, success:123/total 124, fail:0 start...


Time:2016/9/2 14:25:17-Trace>>OnEntitySyncQueue execute count:1, success:124/total 125, fail:0 start...


Time:2016/9/2 14:25:49-Trace>>OnEntitySyncQueue execute count:1, success:125/total 126, fail:0 start...


Time:2016/9/2 14:26:41-Trace>>OnEntitySyncQueue execute count:1, success:126/total 127, fail:0 start...


Time:2016/9/2 14:26:44-Trace>>OnEntitySyncQueue execute count:1, success:127/total 128, fail:0 start...


Time:2016/9/2 14:26:51-Trace>>OnEntitySyncQueue execute count:1, success:128/total 129, fail:0 start...


