Time:2016/10/12 14:50:56-Trace>>OnEntitySyncQueue execute count:55, success:0/total 55, fail:0 start...


Time:2016/10/12 14:50:56-Trace>>OnEntitySyncQueue execute count:15, success:55/total 70, fail:0 start...


Time:2016/10/12 14:50:56-Trace>>OnEntitySyncQueue execute count:52, success:70/total 122, fail:0 start...


Time:2016/10/12 14:50:57-Trace>>OnEntitySyncQueue execute count:42, success:122/total 164, fail:0 start...


Time:2016/10/12 14:52:00-Trace>>OnEntitySyncQueue execute count:94, success:164/total 258, fail:0 start...


Time:2016/10/12 14:52:04-Trace>>OnEntitySyncQueue execute count:94, success:258/total 352, fail:0 start...


Time:2016/10/12 14:52:06-Trace>>OnEntitySyncQueue execute count:1, success:352/total 353, fail:0 start...


Time:2016/10/12 14:52:06-Trace>>OnEntitySyncQueue execute count:55, success:353/total 408, fail:0 start...


Time:2016/10/12 14:52:08-Trace>>OnEntitySyncQueue execute count:2, success:408/total 410, fail:0 start...


Time:2016/10/12 14:52:11-Trace>>OnEntitySyncQueue execute count:1, success:410/total 411, fail:0 start...


Time:2016/10/12 14:52:44-Trace>>OnEntitySyncQueue execute count:1, success:411/total 412, fail:0 start...


Time:2016/10/12 14:53:00-Trace>>OnEntitySyncQueue execute count:95, success:412/total 507, fail:0 start...


Time:2016/10/12 14:53:53-Trace>>OnEntitySyncQueue execute count:1, success:507/total 508, fail:0 start...


Time:2016/10/12 14:53:56-Trace>>OnEntitySyncQueue execute count:1, success:508/total 509, fail:0 start...


Time:2016/10/12 14:54:00-Trace>>OnEntitySyncQueue execute count:95, success:509/total 604, fail:0 start...


Time:2016/10/12 14:54:50-Trace>>OnEntitySyncQueue execute count:1, success:604/total 605, fail:0 start...


Time:2016/10/12 14:54:56-Trace>>OnEntitySyncQueue execute count:1, success:605/total 606, fail:0 start...


Time:2016/10/12 14:55:00-Trace>>OnEntitySyncQueue execute count:95, success:606/total 701, fail:0 start...


Time:2016/10/12 14:56:00-Trace>>OnEntitySyncQueue execute count:95, success:701/total 796, fail:0 start...


Time:2016/10/12 14:56:53-Trace>>OnEntitySyncQueue execute count:1, success:796/total 797, fail:0 start...


Time:2016/10/12 14:56:54-Trace>>OnEntitySyncQueue execute count:1, success:797/total 798, fail:0 start...


Time:2016/10/12 14:56:58-Trace>>OnEntitySyncQueue execute count:1, success:798/total 799, fail:0 start...


Time:2016/10/12 14:57:00-Trace>>OnEntitySyncQueue execute count:1, success:799/total 800, fail:0 start...


Time:2016/10/12 14:57:00-Trace>>OnEntitySyncQueue execute count:95, success:800/total 895, fail:0 start...


Time:2016/10/12 14:57:03-Trace>>OnEntitySyncQueue execute count:1, success:895/total 896, fail:0 start...


Time:2016/10/12 14:57:06-Trace>>OnEntitySyncQueue execute count:1, success:896/total 897, fail:0 start...


Time:2016/10/12 14:57:10-Trace>>OnEntitySyncQueue execute count:1, success:897/total 898, fail:0 start...


Time:2016/10/12 14:57:24-Trace>>OnEntitySyncQueue execute count:1, success:898/total 899, fail:0 start...


Time:2016/10/12 14:57:26-Trace>>OnEntitySyncQueue execute count:1, success:899/total 900, fail:0 start...


Time:2016/10/12 14:57:30-Trace>>OnEntitySyncQueue execute count:1, success:900/total 901, fail:0 start...


Time:2016/10/12 14:58:00-Trace>>OnEntitySyncQueue execute count:95, success:901/total 996, fail:0 start...


Time:2016/10/12 14:58:23-Trace>>OnEntitySyncQueue execute count:1, success:996/total 997, fail:0 start...


Time:2016/10/12 14:58:25-Trace>>OnEntitySyncQueue execute count:1, success:997/total 998, fail:0 start...


Time:2016/10/12 14:58:30-Trace>>OnEntitySyncQueue execute count:1, success:998/total 999, fail:0 start...


Time:2016/10/12 14:59:00-Trace>>OnEntitySyncQueue execute count:95, success:999/total 1094, fail:0 start...


