Time:2016/8/16 17:00:37-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/16 17:02:05-Trace>>OnEntitySyncQueue execute count:18, success:51/total 69, fail:0 start...


Time:2016/8/16 17:02:05-Trace>>OnEntitySyncQueue execute count:2, success:69/total 71, fail:0 start...


Time:2016/8/16 17:02:46-Trace>>OnEntitySyncQueue execute count:20, success:71/total 91, fail:0 start...


Time:2016/8/16 17:02:46-Trace>>OnEntitySyncQueue execute count:51, success:91/total 142, fail:0 start...


Time:2016/8/16 17:02:48-Trace>>OnEntitySyncQueue execute count:2, success:142/total 144, fail:0 start...


Time:2016/8/16 17:02:54-Trace>>OnEntitySyncQueue execute count:1, success:144/total 145, fail:0 start...


Time:2016/8/16 17:02:58-Trace>>OnEntitySyncQueue execute count:1, success:145/total 146, fail:0 start...


Time:2016/8/16 17:03:10-Trace>>OnEntitySyncQueue execute count:1, success:146/total 147, fail:0 start...


Time:2016/8/16 17:04:18-Trace>>OnEntitySyncQueue execute count:2, success:147/total 149, fail:0 start...


Time:2016/8/16 17:04:26-Trace>>OnEntitySyncQueue execute count:1, success:149/total 150, fail:0 start...


Time:2016/8/16 17:04:28-Trace>>Action-1101 Uid:18 access timeout 6316.3613/500ms.


Time:2016/8/16 17:04:28-Trace>>OnEntitySyncQueue execute count:1, success:150/total 151, fail:0 start...


Time:2016/8/16 17:06:51-Trace>>OnEntitySyncQueue execute count:2, success:151/total 153, fail:0 start...


Time:2016/8/16 17:07:08-Trace>>OnEntitySyncQueue execute count:2, success:153/total 155, fail:0 start...


Time:2016/8/16 17:07:12-Trace>>OnEntitySyncQueue execute count:2, success:155/total 157, fail:0 start...


Time:2016/8/16 17:07:37-Trace>>OnEntitySyncQueue execute count:2, success:157/total 159, fail:0 start...


Time:2016/8/16 17:07:49-Trace>>OnEntitySyncQueue execute count:2, success:159/total 161, fail:0 start...


Time:2016/8/16 17:07:57-Trace>>OnEntitySyncQueue execute count:1, success:161/total 162, fail:0 start...


Time:2016/8/16 17:07:57-Trace>>Action-1101 Uid:18 access timeout 4171.2386/500ms.


Time:2016/8/16 17:07:57-Trace>>OnEntitySyncQueue execute count:1, success:162/total 163, fail:0 start...


Time:2016/8/16 17:09:22-Trace>>OnEntitySyncQueue execute count:2, success:163/total 165, fail:0 start...


Time:2016/8/16 17:09:53-Trace>>Action-1002 Uid:0 access timeout 1116.0639/500ms.


Time:2016/8/16 17:09:53-Trace>>OnEntitySyncQueue execute count:3, success:165/total 168, fail:0 start...


Time:2016/8/16 17:09:55-Trace>>OnEntitySyncQueue execute count:2, success:168/total 170, fail:0 start...


Time:2016/8/16 17:10:02-Trace>>OnEntitySyncQueue execute count:1, success:170/total 171, fail:0 start...


Time:2016/8/16 17:10:06-Trace>>OnEntitySyncQueue execute count:1, success:171/total 172, fail:0 start...


Time:2016/8/16 17:10:15-Trace>>OnEntitySyncQueue execute count:1, success:172/total 173, fail:0 start...


Time:2016/8/16 17:10:18-Trace>>OnEntitySyncQueue execute count:1, success:173/total 174, fail:0 start...


