Time:2016/8/24 10:05:16-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/24 10:05:30-Trace>>OnEntitySyncQueue execute count:15, success:51/total 66, fail:0 start...


Time:2016/8/24 10:05:32-Trace>>OnEntitySyncQueue execute count:1, success:66/total 67, fail:0 start...


Time:2016/8/24 10:05:36-Trace>>OnEntitySyncQueue execute count:2, success:67/total 69, fail:0 start...


Time:2016/8/24 10:06:10-Trace>>OnEntitySyncQueue execute count:3, success:69/total 72, fail:0 start...


Time:2016/8/24 10:07:27-Trace>>OnEntitySyncQueue execute count:2, success:72/total 74, fail:0 start...


Time:2016/8/24 10:07:29-Trace>>OnEntitySyncQueue execute count:1, success:74/total 75, fail:0 start...


Time:2016/8/24 10:07:33-Trace>>OnEntitySyncQueue execute count:2, success:75/total 77, fail:0 start...


Time:2016/8/24 10:08:02-Trace>>OnEntitySyncQueue execute count:3, success:77/total 80, fail:0 start...


Time:2016/8/24 10:08:42-Trace>>OnEntitySyncQueue execute count:1, success:80/total 81, fail:0 start...


Time:2016/8/24 10:09:16-Trace>>OnEntitySyncQueue execute count:2, success:81/total 83, fail:0 start...


Time:2016/8/24 10:09:20-Trace>>OnEntitySyncQueue execute count:1, success:83/total 84, fail:0 start...


Time:2016/8/24 10:10:00-Trace>>OnEntitySyncQueue execute count:2, success:84/total 86, fail:0 start...


Time:2016/8/24 10:10:31-Trace>>OnEntitySyncQueue execute count:1, success:86/total 87, fail:0 start...


Time:2016/8/24 10:10:43-Trace>>Action-1002 Uid:0 access timeout 1608.092/500ms.


Time:2016/8/24 10:10:43-Trace>>OnEntitySyncQueue execute count:1, success:87/total 88, fail:0 start...


Time:2016/8/24 10:10:44-Trace>>OnEntitySyncQueue execute count:15, success:88/total 103, fail:0 start...


Time:2016/8/24 10:10:44-Trace>>Action-1005 Uid:15 access timeout 1165.0666/500ms.


Time:2016/8/24 10:10:44-Trace>>OnEntitySyncQueue execute count:2, success:103/total 105, fail:0 start...


Time:2016/8/24 10:10:44-Trace>>OnEntitySyncQueue execute count:51, success:105/total 156, fail:0 start...


Time:2016/8/24 10:10:46-Trace>>OnEntitySyncQueue execute count:1, success:156/total 157, fail:0 start...


Time:2016/8/24 10:10:46-Trace>>OnEntitySyncQueue execute count:2, success:157/total 159, fail:0 start...


Time:2016/8/24 10:10:52-Trace>>OnEntitySyncQueue execute count:2, success:159/total 161, fail:0 start...


Time:2016/8/24 10:11:38-Trace>>OnEntitySyncQueue execute count:1, success:161/total 162, fail:0 start...


Time:2016/8/24 10:11:43-Trace>>OnEntitySyncQueue execute count:1, success:162/total 163, fail:0 start...


Time:2016/8/24 10:11:44-Trace>>OnEntitySyncQueue execute count:1, success:163/total 164, fail:0 start...


Time:2016/8/24 10:11:46-Trace>>OnEntitySyncQueue execute count:1, success:164/total 165, fail:0 start...


Time:2016/8/24 10:11:49-Trace>>OnEntitySyncQueue execute count:2, success:165/total 167, fail:0 start...


Time:2016/8/24 10:11:49-Trace>>OnEntitySyncQueue execute count:1, success:167/total 168, fail:0 start...
