Time:2016/8/24 15:08:02-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/24 15:08:14-Trace>>OnEntitySyncQueue execute count:17, success:51/total 68, fail:0 start...


Time:2016/8/24 15:08:14-Trace>>OnEntitySyncQueue execute count:2, success:68/total 70, fail:0 start...


Time:2016/8/24 15:08:15-Trace>>OnEntitySyncQueue execute count:2, success:70/total 72, fail:0 start...


Time:2016/8/24 15:13:39-Trace>>OnEntitySyncQueue execute count:2, success:72/total 74, fail:0 start...


Time:2016/8/24 15:13:41-Trace>>OnEntitySyncQueue execute count:1, success:74/total 75, fail:0 start...


Time:2016/8/24 15:14:03-Trace>>OnEntitySyncQueue execute count:1, success:75/total 76, fail:0 start...


Time:2016/8/24 15:14:10-Trace>>OnEntitySyncQueue execute count:1, success:76/total 77, fail:0 start...


Time:2016/8/24 15:14:10-Trace>>OnEntitySyncQueue execute count:2, success:77/total 79, fail:0 start...


Time:2016/8/24 15:14:11-Trace>>OnEntitySyncQueue execute count:1, success:79/total 80, fail:0 start...


Time:2016/8/24 15:14:15-Trace>>OnEntitySyncQueue execute count:2, success:80/total 82, fail:0 start...


Time:2016/8/24 15:14:23-Trace>>OnEntitySyncQueue execute count:2, success:82/total 84, fail:0 start...


Time:2016/8/24 15:14:42-Trace>>OnEntitySyncQueue execute count:1, success:84/total 85, fail:0 start...


Time:2016/8/24 15:15:02-Trace>>OnEntitySyncQueue execute count:50, success:0/total 50, fail:0 start...


Time:2016/8/24 15:15:02-Trace>>OnEntitySyncQueue execute count:1, success:50/total 51, fail:0 start...


Time:2016/8/24 15:15:59-Trace>>OnEntitySyncQueue execute count:18, success:51/total 69, fail:0 start...


Time:2016/8/24 15:16:00-Trace>>OnEntitySyncQueue execute count:2, success:69/total 71, fail:0 start...


Time:2016/8/24 15:16:01-Trace>>OnEntitySyncQueue execute count:1, success:71/total 72, fail:0 start...


Time:2016/8/24 15:16:06-Trace>>OnEntitySyncQueue execute count:2, success:72/total 74, fail:0 start...


Time:2016/8/24 15:16:11-Trace>>OnEntitySyncQueue execute count:1, success:74/total 75, fail:0 start...


Time:2016/8/24 15:16:15-Trace>>OnEntitySyncQueue execute count:1, success:75/total 76, fail:0 start...


Time:2016/8/24 15:16:19-Trace>>OnEntitySyncQueue execute count:1, success:76/total 77, fail:0 start...


Time:2016/8/24 15:16:42-Trace>>OnEntitySyncQueue execute count:1, success:77/total 78, fail:0 start...


Time:2016/8/24 15:16:45-Trace>>OnEntitySyncQueue execute count:2, success:78/total 80, fail:0 start...


Time:2016/8/24 15:16:48-Trace>>OnEntitySyncQueue execute count:1, success:80/total 81, fail:0 start...


Time:2016/8/24 15:16:48-Trace>>OnEntitySyncQueue execute count:3, success:81/total 84, fail:0 start...


Time:2016/8/24 15:16:49-Trace>>OnEntitySyncQueue execute count:1, success:84/total 85, fail:0 start...


Time:2016/8/24 15:17:04-Trace>>OnEntitySyncQueue execute count:1, success:85/total 86, fail:0 start...


Time:2016/8/24 15:17:59-Trace>>OnEntitySyncQueue execute count:2, success:86/total 88, fail:0 start...


Time:2016/8/24 15:18:07-Trace>>OnEntitySyncQueue execute count:1, success:88/total 89, fail:0 start...


Time:2016/8/24 15:18:07-Trace>>OnEntitySyncQueue execute count:2, success:89/total 91, fail:0 start...


Time:2016/8/24 15:18:08-Trace>>OnEntitySyncQueue execute count:2, success:91/total 93, fail:0 start...


Time:2016/8/24 15:19:09-Trace>>OnEntitySyncQueue execute count:2, success:93/total 95, fail:0 start...


Time:2016/8/24 15:19:10-Trace>>OnEntitySyncQueue execute count:1, success:95/total 96, fail:0 start...


Time:2016/8/24 15:19:45-Trace>>OnEntitySyncQueue execute count:1, success:96/total 97, fail:0 start...


Time:2016/8/24 15:20:41-Trace>>OnEntitySyncQueue execute count:1, success:97/total 98, fail:0 start...


