Time:2016/11/3 15:28:56-Trace>>OnEntitySyncQueue execute count:70, success:0/total 70, fail:0 start...


Time:2016/11/3 15:28:56-Trace>>OnEntitySyncQueue execute count:15, success:70/total 85, fail:0 start...


Time:2016/11/3 15:28:57-Trace>>OnEntitySyncQueue execute count:16, success:85/total 101, fail:0 start...


Time:2016/11/3 15:28:57-Trace>>OnEntitySyncQueue execute count:95, success:101/total 196, fail:0 start...


Time:2016/11/3 15:29:06-Trace>>OnEntitySyncQueue execute count:129, success:196/total 325, fail:0 start...


Time:2016/11/3 15:29:10-Trace>>OnEntitySyncQueue execute count:56, success:325/total 381, fail:0 start...


Time:2016/11/3 15:29:13-Trace>>OnEntitySyncQueue execute count:1, success:381/total 382, fail:0 start...


Time:2016/11/3 15:29:28-Trace>>OnEntitySyncQueue execute count:1, success:382/total 383, fail:0 start...


Time:2016/11/3 15:29:30-Trace>>OnEntitySyncQueue execute count:113, success:383/total 496, fail:0 start...


Time:2016/11/3 15:29:33-Trace>>OnEntitySyncQueue execute count:1, success:496/total 497, fail:0 start...


Time:2016/11/3 15:30:00-Trace>>OnEntitySyncQueue execute count:114, success:497/total 611, fail:0 start...


Time:2016/11/3 15:30:19-Trace>>OnEntitySyncQueue execute count:1, success:611/total 612, fail:0 start...


Time:2016/11/3 15:30:23-Trace>>OnEntitySyncQueue execute count:1, success:612/total 613, fail:0 start...


Time:2016/11/3 15:30:43-Trace>>OnEntitySyncQueue execute count:1, success:613/total 614, fail:0 start...


Time:2016/11/3 15:30:45-Trace>>OnEntitySyncQueue execute count:1, success:614/total 615, fail:0 start...


Time:2016/11/3 15:30:49-Trace>>OnEntitySyncQueue execute count:1, success:615/total 616, fail:0 start...


Time:2016/11/3 15:30:55-Trace>>OnEntitySyncQueue execute count:1, success:616/total 617, fail:0 start...


Time:2016/11/3 15:30:57-Trace>>OnEntitySyncQueue execute count:1, success:617/total 618, fail:0 start...


Time:2016/11/3 15:31:01-Trace>>OnEntitySyncQueue execute count:1, success:618/total 619, fail:0 start...


Time:2016/11/3 15:31:01-Trace>>OnEntitySyncQueue execute count:1, success:619/total 620, fail:0 start...


Time:2016/11/3 15:31:02-Trace>>OnEntitySyncQueue execute count:1, success:620/total 621, fail:0 start...


Time:2016/11/3 15:31:03-Trace>>OnEntitySyncQueue execute count:1, success:621/total 622, fail:0 start...


Time:2016/11/3 15:31:05-Trace>>OnEntitySyncQueue execute count:2, success:622/total 624, fail:0 start...


Time:2016/11/3 15:31:06-Trace>>OnEntitySyncQueue execute count:1, success:624/total 625, fail:0 start...


Time:2016/11/3 15:31:07-Trace>>OnEntitySyncQueue execute count:1, success:625/total 626, fail:0 start...


Time:2016/11/3 15:31:15-Trace>>OnEntitySyncQueue execute count:1, success:626/total 627, fail:0 start...


Time:2016/11/3 15:31:38-Trace>>OnEntitySyncQueue execute count:1, success:627/total 628, fail:0 start...


Time:2016/11/3 15:31:47-Trace>>OnEntitySyncQueue execute count:1, success:628/total 629, fail:0 start...


