Time:2016/9/6 10:00:50-Trace>>OnEntitySyncQueue execute count:1, success:130/total 131, fail:0 start...


Time:2016/9/6 10:00:58-Trace>>OnEntitySyncQueue execute count:1, success:131/total 132, fail:0 start...


Time:2016/9/6 10:03:12-Trace>>OnEntitySyncQueue execute count:1, success:132/total 133, fail:0 start...


Time:2016/9/6 10:03:18-Trace>>OnEntitySyncQueue execute count:1, success:133/total 134, fail:0 start...


Time:2016/9/6 10:04:38-Trace>>OnEntitySyncQueue execute count:1, success:134/total 135, fail:0 start...


Time:2016/9/6 10:04:48-Trace>>OnEntitySyncQueue execute count:1, success:135/total 136, fail:0 start...


Time:2016/9/6 10:04:49-Trace>>OnEntitySyncQueue execute count:1, success:136/total 137, fail:0 start...


Time:2016/9/6 10:04:59-Trace>>OnEntitySyncQueue execute count:1, success:137/total 138, fail:0 start...


Time:2016/9/6 10:05:26-Trace>>OnEntitySyncQueue execute count:1, success:138/total 139, fail:0 start...


Time:2016/9/6 10:05:34-Trace>>OnEntitySyncQueue execute count:1, success:139/total 140, fail:0 start...


Time:2016/9/6 10:05:44-Trace>>OnEntitySyncQueue execute count:1, success:140/total 141, fail:0 start...


Time:2016/9/6 10:05:51-Trace>>OnEntitySyncQueue execute count:1, success:141/total 142, fail:0 start...


Time:2016/9/6 10:05:57-Trace>>OnEntitySyncQueue execute count:1, success:142/total 143, fail:0 start...


Time:2016/9/6 10:05:58-Trace>>OnEntitySyncQueue execute count:1, success:143/total 144, fail:0 start...


Time:2016/9/6 10:06:05-Trace>>OnEntitySyncQueue execute count:1, success:144/total 145, fail:0 start...


Time:2016/9/6 10:07:14-Trace>>OnEntitySyncQueue execute count:1, success:145/total 146, fail:0 start...


Time:2016/9/6 10:07:17-Trace>>OnEntitySyncQueue execute count:1, success:146/total 147, fail:0 start...


Time:2016/9/6 10:07:21-Trace>>Action-4002 Uid:15 access timeout 19038.0889/500ms.


Time:2016/9/6 10:09:04-Trace>>OnEntitySyncQueue execute count:1, success:147/total 148, fail:0 start...


Time:2016/9/6 10:09:20-Trace>>OnEntitySyncQueue execute count:1, success:148/total 149, fail:0 start...


Time:2016/9/6 10:09:29-Trace>>OnEntitySyncQueue execute count:14, success:149/total 163, fail:0 start...


Time:2016/9/6 10:09:29-Trace>>Action-1005 Uid:16 access timeout 1221.0698/500ms.


Time:2016/9/6 10:09:30-Trace>>OnEntitySyncQueue execute count:2, success:163/total 165, fail:0 start...


Time:2016/9/6 10:09:53-Trace>>OnEntitySyncQueue execute count:1, success:165/total 168, fail:0 start...


Time:2016/9/6 10:10:19-Trace>>OnEntitySyncQueue execute count:1, success:166/total 169, fail:0 start...


Time:2016/9/6 10:10:19-Trace>>OnEntitySyncQueue execute count:1, success:167/total 170, fail:0 start...


Time:2016/9/6 10:11:34-Trace>>OnEntitySyncQueue execute count:1, success:168/total 171, fail:0 start...


Time:2016/9/6 10:11:50-Trace>>OnEntitySyncQueue execute count:1, success:169/total 172, fail:0 start...


