Time:2016/8/23 11:12:15-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/23 11:14:25-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/23 11:16:28-Trace>>OnEntitySyncQueue execute count:4, success:51/total 55, fail:0 start...


Time:2016/8/23 11:17:11-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/23 11:17:33-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/23 11:18:37-Trace>>OnEntitySyncQueue execute count:3, success:51/total 54, fail:0 start...


Time:2016/8/23 11:18:37-Trace>>OnEntitySyncQueue execute count:5, success:54/total 59, fail:0 start...


Time:2016/8/23 11:18:37-Trace>>OnEntitySyncQueue execute count:1, success:59/total 60, fail:0 start...


Time:2016/8/23 11:18:37-Trace>>OnEntitySyncQueue execute count:51, success:60/total 111, fail:0 start...


Time:2016/8/23 11:19:22-Trace>>OnEntitySyncQueue execute count:2, success:111/total 113, fail:0 start...


Time:2016/8/23 11:20:07-Trace>>OnEntitySyncQueue execute count:1, success:113/total 114, fail:0 start...


Time:2016/8/23 11:20:13-Trace>>OnEntitySyncQueue execute count:1, success:114/total 115, fail:0 start...


Time:2016/8/23 11:20:20-Trace>>OnEntitySyncQueue execute count:1, success:115/total 116, fail:0 start...


Time:2016/8/23 11:20:24-Trace>>OnEntitySyncQueue execute count:1, success:116/total 117, fail:0 start...


Time:2016/8/23 11:20:30-Trace>>OnEntitySyncQueue execute count:1, success:117/total 118, fail:0 start...


Time:2016/8/23 11:20:40-Trace>>OnEntitySyncQueue execute count:1, success:118/total 119, fail:0 start...


Time:2016/8/23 11:21:45-Trace>>OnEntitySyncQueue execute count:2, success:119/total 121, fail:0 start...


Time:2016/8/23 11:21:45-Trace>>OnEntitySyncQueue execute count:1, success:121/total 122, fail:0 start...


Time:2016/8/23 11:22:47-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/23 11:22:48-Trace>>OnEntitySyncQueue execute count:1, success:51/total 52, fail:0 start...


Time:2016/8/23 11:23:00-Trace>>OnEntitySyncQueue execute count:3, success:52/total 55, fail:0 start...


Time:2016/8/23 11:23:01-Trace>>OnEntitySyncQueue execute count:5, success:55/total 60, fail:0 start...


Time:2016/8/23 11:23:01-Trace>>OnEntitySyncQueue execute count:1, success:60/total 61, fail:0 start...


Time:2016/8/23 11:23:01-Trace>>OnEntitySyncQueue execute count:51, success:61/total 112, fail:0 start...


Time:2016/8/23 11:23:28-Trace>>OnEntitySyncQueue execute count:2, success:112/total 114, fail:0 start...


Time:2016/8/23 11:23:33-Trace>>OnEntitySyncQueue execute count:1, success:114/total 115, fail:0 start...


Time:2016/8/23 11:23:38-Trace>>OnEntitySyncQueue execute count:1, success:115/total 116, fail:0 start...


Time:2016/8/23 11:23:42-Trace>>OnEntitySyncQueue execute count:1, success:116/total 117, fail:0 start...


