Time:2016/8/30 10:04:04-Trace>>OnEntitySyncQueue execute count:11, success:51/total 62, fail:0 start...


Time:2016/8/30 10:04:04-Trace>>OnEntitySyncQueue execute count:1, success:62/total 63, fail:0 start...


Time:2016/8/30 10:04:05-Trace>>Action-1008 Uid:10 access timeout 1178.0673/500ms.


Time:2016/8/30 10:04:05-Trace>>OnEntitySyncQueue execute count:1, success:63/total 64, fail:0 start...


Time:2016/8/30 10:04:12-Trace>>OnEntitySyncQueue execute count:1, success:64/total 65, fail:0 start...


Time:2016/8/30 10:04:41-Trace>>OnEntitySyncQueue execute count:2, success:65/total 67, fail:0 start...


Time:2016/8/30 10:04:42-Trace>>OnEntitySyncQueue execute count:1, success:67/total 68, fail:0 start...


Time:2016/8/30 10:04:46-Trace>>OnEntitySyncQueue execute count:2, success:68/total 70, fail:0 start...


Time:2016/8/30 10:04:53-Trace>>OnEntitySyncQueue execute count:1, success:70/total 71, fail:0 start...


Time:2016/8/30 10:05:15-Trace>>OnEntitySyncQueue execute count:2, success:71/total 73, fail:0 start...


Time:2016/8/30 10:05:28-Trace>>OnEntitySyncQueue execute count:1, success:73/total 74, fail:0 start...


Time:2016/8/30 10:05:28-Trace>>OnEntitySyncQueue execute count:3, success:74/total 77, fail:0 start...


Time:2016/8/30 10:05:55-Trace>>OnEntitySyncQueue execute count:1, success:77/total 78, fail:0 start...


Time:2016/8/30 10:06:10-Trace>>OnEntitySyncQueue execute count:1, success:78/total 79, fail:0 start...


Time:2016/8/30 10:06:11-Trace>>OnEntitySyncQueue execute count:2, success:79/total 81, fail:0 start...


Time:2016/8/30 10:07:44-Trace>>OnEntitySyncQueue execute count:1, success:81/total 82, fail:0 start...


Time:2016/8/30 10:07:51-Trace>>OnEntitySyncQueue execute count:2, success:82/total 84, fail:0 start...


Time:2016/8/30 10:07:53-Trace>>OnEntitySyncQueue execute count:1, success:84/total 85, fail:0 start...


Time:2016/8/30 10:07:58-Trace>>OnEntitySyncQueue execute count:1, success:85/total 86, fail:0 start...


Time:2016/8/30 10:11:25-Trace>>OnEntitySyncQueue execute count:1, success:86/total 87, fail:0 start...


Time:2016/8/30 10:11:25-Trace>>OnEntitySyncQueue execute count:2, success:87/total 89, fail:0 start...


Time:2016/8/30 10:11:31-Trace>>OnEntitySyncQueue execute count:2, success:89/total 91, fail:0 start...


Time:2016/8/30 10:11:34-Trace>>OnEntitySyncQueue execute count:53, success:91/total 144, fail:0 start...


Time:2016/8/30 10:11:34-Trace>>OnEntitySyncQueue execute count:2, success:144/total 146, fail:0 start...


Time:2016/8/30 10:11:38-Trace>>OnEntitySyncQueue execute count:1, success:146/total 147, fail:0 start...


Time:2016/8/30 10:11:38-Trace>>OnEntitySyncQueue execute count:1, success:147/total 148, fail:0 start...


Time:2016/8/30 10:11:55-Trace>>OnEntitySyncQueue execute count:2, success:148/total 150, fail:0 start...


Time:2016/8/30 10:11:59-Trace>>OnEntitySyncQueue execute count:2, success:150/total 152, fail:0 start...


