Time:2016/8/31 9:08:05-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/31 9:08:25-Trace>>OnEntitySyncQueue execute count:14, success:51/total 65, fail:0 start...


Time:2016/8/31 9:08:25-Trace>>OnEntitySyncQueue execute count:2, success:65/total 67, fail:0 start...


Time:2016/8/31 9:08:25-Trace>>OnEntitySyncQueue execute count:1, success:67/total 68, fail:0 start...


Time:2016/8/31 9:08:47-Trace>>OnEntitySyncQueue execute count:1, success:68/total 69, fail:0 start...


Time:2016/8/31 9:08:53-Trace>>OnEntitySyncQueue execute count:2, success:69/total 71, fail:0 start...


Time:2016/8/31 9:12:53-Trace>>OnEntitySyncQueue execute count:1, success:71/total 72, fail:0 start...


Time:2016/8/31 9:13:01-Trace>>OnEntitySyncQueue execute count:2, success:72/total 74, fail:0 start...


Time:2016/8/31 9:14:14-Trace>>OnEntitySyncQueue execute count:1, success:74/total 75, fail:0 start...


Time:2016/8/31 9:14:14-Trace>>OnEntitySyncQueue execute count:2, success:75/total 77, fail:0 start...


Time:2016/8/31 9:15:29-Trace>>OnEntitySyncQueue execute count:2, success:77/total 79, fail:0 start...


Time:2016/8/31 9:15:52-Trace>>OnEntitySyncQueue execute count:1, success:79/total 80, fail:0 start...


Time:2016/8/31 9:15:53-Trace>>OnEntitySyncQueue execute count:14, success:80/total 94, fail:0 start...


Time:2016/8/31 9:15:53-Trace>>Action-1005 Uid:14 access timeout 1217.0696/500ms.


Time:2016/8/31 9:15:53-Trace>>OnEntitySyncQueue execute count:2, success:94/total 96, fail:0 start...


Time:2016/8/31 9:15:54-Trace>>OnEntitySyncQueue execute count:51, success:96/total 147, fail:0 start...


Time:2016/8/31 9:15:56-Trace>>OnEntitySyncQueue execute count:1, success:147/total 148, fail:0 start...


Time:2016/8/31 9:16:56-Trace>>OnEntitySyncQueue execute count:1, success:148/total 149, fail:0 start...


Time:2016/8/31 9:17:02-Trace>>OnEntitySyncQueue execute count:2, success:149/total 151, fail:0 start...


Time:2016/8/31 9:18:06-Trace>>OnEntitySyncQueue execute count:3, success:151/total 154, fail:0 start...


Time:2016/8/31 9:18:24-Trace>>OnEntitySyncQueue execute count:1, success:154/total 155, fail:0 start...


Time:2016/8/31 9:20:01-Trace>>OnEntitySyncQueue execute count:2, success:155/total 157, fail:0 start...


Time:2016/8/31 9:21:17-Trace>>OnEntitySyncQueue execute count:1, success:157/total 158, fail:0 start...


Time:2016/8/31 9:21:31-Trace>>OnEntitySyncQueue execute count:1, success:158/total 159, fail:0 start...


Time:2016/8/31 9:21:31-Trace>>OnEntitySyncQueue execute count:2, success:159/total 161, fail:0 start...


Time:2016/8/31 9:22:45-Trace>>OnEntitySyncQueue execute count:1, success:161/total 162, fail:0 start...


Time:2016/8/31 9:22:52-Trace>>OnEntitySyncQueue execute count:2, success:162/total 164, fail:0 start...


Time:2016/8/31 9:22:56-Trace>>OnEntitySyncQueue execute count:1, success:164/total 165, fail:0 start...


