Time:2016/8/9 14:50:16-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2016/8/9 14:51:53-Trace>>OnEntitySyncQueue execute count:49, success:1/total 51, fail:0 start...


Time:2016/8/9 14:52:48-Trace>>OnEntitySyncQueue execute count:50, success:0/total 50, fail:0 start...


Time:2016/8/9 14:52:49-Trace>>OnEntitySyncQueue execute count:5, success:50/total 55, fail:0 start...


Time:2016/8/9 14:52:49-Trace>>OnEntitySyncQueue execute count:1, success:55/total 56, fail:0 start...


Time:2016/8/9 14:55:16-Trace>>OnEntitySyncQueue execute count:50, success:0/total 50, fail:0 start...


Time:2016/8/9 14:55:44-Trace>>OnEntitySyncQueue execute count:50, success:0/total 50, fail:0 start...


Time:2016/8/9 14:57:44-Trace>>OnEntitySyncQueue execute count:50, success:0/total 50, fail:0 start...


Time:2016/8/9 14:58:01-Trace>>OnEntitySyncQueue execute count:5, success:50/total 55, fail:0 start...


Time:2016/8/9 14:58:01-Trace>>OnEntitySyncQueue execute count:1, success:55/total 56, fail:0 start...


Time:2016/8/9 14:58:44-Trace>>OnEntitySyncQueue execute count:50, success:0/total 50, fail:0 start...


Time:2016/8/9 14:58:49-Trace>>OnEntitySyncQueue execute count:5, success:50/total 55, fail:0 start...


