Time:2016/8/15 15:10:27-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/15 15:10:47-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/15 15:15:41-Trace>>OnEntitySyncQueue execute count:12, success:51/total 63, fail:0 start...


Time:2016/8/15 15:20:53-Trace>>OnEntitySyncQueue execute count:2, success:63/total 65, fail:0 start...


Time:2016/8/15 15:29:14-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/15 15:33:54-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/15 15:51:05-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/15 15:52:48-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/15 15:55:37-Trace>>OnEntitySyncQueue execute count:11, success:51/total 62, fail:0 start...


Time:2016/8/15 15:55:37-Trace>>OnEntitySyncQueue execute count:1, success:62/total 63, fail:0 start...


Time:2016/8/15 15:55:38-Trace>>OnEntitySyncQueue execute count:1, success:63/total 64, fail:0 start...


Time:2016/8/15 15:58:33-Trace>>OnEntitySyncQueue execute count:1, success:64/total 65, fail:0 start...


Time:2016/8/15 15:58:33-Trace>>OnEntitySyncQueue execute count:1, success:65/total 66, fail:0 start...


Time:2016/8/15 15:59:04-Trace>>OnEntitySyncQueue execute count:2, success:66/total 68, fail:0 start...


