Time:2016/8/5 17:00:52-Trace>>OnEntitySyncQueue execute count:1, success:23/total 24, fail:0 start...


Time:2016/8/5 17:01:20-Trace>>Action-1100 Uid:10 access timeout 28882.652/500ms.


Time:2016/8/5 17:02:08-Trace>>OnEntitySyncQueue execute count:1, success:24/total 25, fail:0 start...


Time:2016/8/5 17:02:24-Trace>>OnEntitySyncQueue execute count:1, success:25/total 26, fail:0 start...


Time:2016/8/5 17:11:31-Trace>>OnEntitySyncQueue execute count:11, success:0/total 11, fail:0 start...


Time:2016/8/5 17:13:20-Trace>>OnEntitySyncQueue execute count:11, success:0/total 11, fail:0 start...


Time:2016/8/5 17:13:38-Trace>>OnEntitySyncQueue execute count:1, success:11/total 12, fail:0 start...


Time:2016/8/5 17:13:40-Trace>>Action-1008 Uid:10 access timeout 19710.1274/500ms.


Time:2016/8/5 17:15:31-Trace>>OnEntitySyncQueue execute count:1, success:12/total 13, fail:0 start...


Time:2016/8/5 17:15:32-Trace>>OnEntitySyncQueue execute count:2, success:13/total 15, fail:0 start...


Time:2016/8/5 17:15:32-Trace>>OnEntitySyncQueue execute count:1, success:15/total 16, fail:0 start...


Time:2016/8/5 17:15:57-Trace>>OnEntitySyncQueue execute count:1, success:16/total 17, fail:0 start...


Time:2016/8/5 17:15:58-Trace>>OnEntitySyncQueue execute count:2, success:17/total 19, fail:0 start...


Time:2016/8/5 17:21:23-Trace>>OnEntitySyncQueue execute count:1, success:19/total 20, fail:0 start...


Time:2016/8/5 17:21:26-Trace>>OnEntitySyncQueue execute count:1, success:20/total 21, fail:0 start...


Time:2016/8/5 17:21:26-Trace>>OnEntitySyncQueue execute count:2, success:21/total 23, fail:0 start...


Time:2016/8/5 17:21:26-Trace>>OnEntitySyncQueue execute count:1, success:23/total 24, fail:0 start...


Time:2016/8/5 17:21:30-Trace>>Action-1101 Uid:10 access timeout 12803.7324/500ms.


Time:2016/8/5 17:25:14-Trace>>OnEntitySyncQueue execute count:3, success:24/total 27, fail:0 start...


Time:2016/8/5 17:25:22-Trace>>OnEntitySyncQueue execute count:1, success:27/total 28, fail:0 start...


Time:2016/8/5 17:25:44-Trace>>OnEntitySyncQueue execute count:1, success:28/total 29, fail:0 start...


Time:2016/8/5 17:25:44-Trace>>Action-1101 Uid:10 access timeout 24158.3818/500ms.


Time:2016/8/5 17:25:44-Trace>>OnEntitySyncQueue execute count:2, success:29/total 31, fail:0 start...


Time:2016/8/5 17:28:04-Trace>>OnEntitySyncQueue execute count:11, success:0/total 11, fail:0 start...


Time:2016/8/5 17:28:17-Trace>>OnEntitySyncQueue execute count:3, success:11/total 14, fail:0 start...


Time:2016/8/5 17:28:31-Trace>>OnEntitySyncQueue execute count:1, success:14/total 15, fail:0 start...


Time:2016/8/5 17:28:38-Trace>>OnEntitySyncQueue execute count:1, success:15/total 16, fail:0 start...


Time:2016/8/5 17:28:38-Trace>>OnEntitySyncQueue execute count:1, success:16/total 17, fail:0 start...


Time:2016/8/5 17:28:38-Trace>>Action-1101 Uid:10 access timeout 12316.7045/500ms.


