Time:2016/9/6 9:39:40-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/9/6 9:39:40-Trace>>OnEntitySyncQueue execute count:6, success:51/total 57, fail:0 start...


Time:2016/9/6 9:39:40-Trace>>OnEntitySyncQueue execute count:13, success:57/total 70, fail:0 start...


Time:2016/9/6 9:40:59-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/9/6 9:41:00-Trace>>OnEntitySyncQueue execute count:6, success:51/total 57, fail:0 start...


Time:2016/9/6 9:41:00-Trace>>OnEntitySyncQueue execute count:13, success:57/total 70, fail:0 start...


Time:2016/9/6 9:42:36-Trace>>OnEntitySyncQueue execute count:57, success:0/total 57, fail:0 start...


Time:2016/9/6 9:42:36-Trace>>OnEntitySyncQueue execute count:13, success:57/total 70, fail:0 start...


Time:2016/9/6 9:43:48-Trace>>OnEntitySyncQueue execute count:1, success:70/total 71, fail:0 start...


Time:2016/9/6 9:43:48-Trace>>OnEntitySyncQueue execute count:1, success:71/total 72, fail:0 start...


Time:2016/9/6 9:43:48-Trace>>OnEntitySyncQueue execute count:1, success:72/total 73, fail:0 start...


Time:2016/9/6 9:43:57-Trace>>OnEntitySyncQueue execute count:51, success:73/total 124, fail:0 start...


Time:2016/9/6 9:44:33-Trace>>OnEntitySyncQueue execute count:12, success:124/total 136, fail:0 start...


Time:2016/9/6 9:44:33-Trace>>OnEntitySyncQueue execute count:2, success:136/total 138, fail:0 start...


Time:2016/9/6 9:44:35-Trace>>OnEntitySyncQueue execute count:2, success:138/total 140, fail:0 start...


Time:2016/9/6 9:45:03-Trace>>OnEntitySyncQueue execute count:2, success:140/total 142, fail:0 start...


Time:2016/9/6 9:45:12-Trace>>OnEntitySyncQueue execute count:2, success:142/total 144, fail:0 start...


Time:2016/9/6 9:45:42-Trace>>Action-4001 Uid:15 access timeout 18144.1797/500ms.


Time:2016/9/6 9:57:36-Trace>>OnEntitySyncQueue execute count:57, success:0/total 57, fail:0 start...


Time:2016/9/6 9:57:36-Trace>>OnEntitySyncQueue execute count:20, success:57/total 77, fail:0 start...


Time:2016/9/6 9:57:48-Trace>>OnEntitySyncQueue execute count:1, success:77/total 78, fail:0 start...


Time:2016/9/6 9:57:49-Trace>>Action-1008 Uid:15 access timeout 1218.0697/500ms.


Time:2016/9/6 9:57:54-Trace>>OnEntitySyncQueue execute count:51, success:78/total 129, fail:0 start...


Time:2016/9/6 9:57:55-Trace>>OnEntitySyncQueue execute count:1, success:129/total 130, fail:0 start...


