Time:2016/8/5 16:00:49-Trace>>OnEntitySyncQueue execute count:2, success:23/total 25, fail:0 start...


Time:2016/8/5 16:02:57-Trace>>OnEntitySyncQueue execute count:2, success:25/total 27, fail:0 start...


Time:2016/8/5 16:03:13-Trace>>OnEntitySyncQueue execute count:2, success:27/total 29, fail:0 start...


Time:2016/8/5 16:03:13-Trace>>OnEntitySyncQueue execute count:1, success:29/total 30, fail:0 start...


Time:2016/8/5 16:04:09-Trace>>OnEntitySyncQueue execute count:1, success:30/total 31, fail:0 start...


Time:2016/8/5 16:04:09-Trace>>OnEntitySyncQueue execute count:1, success:31/total 32, fail:0 start...


Time:2016/8/5 16:04:12-Trace>>OnEntitySyncQueue execute count:2, success:32/total 34, fail:0 start...


Time:2016/8/5 16:05:02-Trace>>OnEntitySyncQueue execute count:2, success:34/total 36, fail:0 start...


Time:2016/8/5 16:05:24-Trace>>OnEntitySyncQueue execute count:2, success:36/total 38, fail:0 start...


Time:2016/8/5 16:08:56-Trace>>OnEntitySyncQueue execute count:2, success:38/total 40, fail:0 start...


Time:2016/8/5 16:10:44-Trace>>OnEntitySyncQueue execute count:2, success:40/total 42, fail:0 start...


Time:2016/8/5 16:22:56-Trace>>OnEntitySyncQueue execute count:2, success:42/total 44, fail:0 start...


Time:2016/8/5 16:23:00-Trace>>OnEntitySyncQueue execute count:1, success:44/total 45, fail:0 start...


Time:2016/8/5 16:23:01-Trace>>Action-1100 Uid:8 access timeout 1124.0643/500ms.


Time:2016/8/5 16:24:01-Trace>>OnEntitySyncQueue execute count:1, success:45/total 46, fail:0 start...


Time:2016/8/5 16:24:10-Trace>>OnEntitySyncQueue execute count:1, success:46/total 47, fail:0 start...


Time:2016/8/5 16:24:15-Trace>>OnEntitySyncQueue execute count:1, success:47/total 48, fail:0 start...


Time:2016/8/5 16:24:30-Trace>>Action-1100 Uid:8 access timeout 16259.93/500ms.


Time:2016/8/5 16:32:48-Trace>>OnEntitySyncQueue execute count:10, success:0/total 10, fail:0 start...


Time:2016/8/5 16:33:06-Trace>>OnEntitySyncQueue execute count:2, success:10/total 12, fail:0 start...


Time:2016/8/5 16:34:54-Trace>>OnEntitySyncQueue execute count:1, success:12/total 13, fail:0 start...


Time:2016/8/5 16:34:55-Trace>>OnEntitySyncQueue execute count:1, success:13/total 14, fail:0 start...


Time:2016/8/5 16:34:55-Trace>>OnEntitySyncQueue execute count:1, success:14/total 15, fail:0 start...


Time:2016/8/5 16:34:56-Trace>>OnEntitySyncQueue execute count:1, success:15/total 16, fail:0 start...


Time:2016/8/5 16:34:56-Trace>>OnEntitySyncQueue execute count:1, success:16/total 17, fail:0 start...


Time:2016/8/5 16:35:35-Trace>>OnEntitySyncQueue execute count:2, success:17/total 19, fail:0 start...


Time:2016/8/5 16:36:36-Trace>>OnEntitySyncQueue execute count:2, success:19/total 21, fail:0 start...


Time:2016/8/5 16:36:57-Trace>>OnEntitySyncQueue execute count:2, success:21/total 23, fail:0 start...


Time:2016/8/5 16:37:14-Trace>>OnEntitySyncQueue execute count:2, success:23/total 25, fail:0 start...
