Time:2016/9/1 17:02:02-Trace>>OnEntitySyncQueue execute count:1, success:160/total 161, fail:0 start...


Time:2016/9/1 17:02:44-Trace>>OnEntitySyncQueue execute count:1, success:161/total 162, fail:0 start...


Time:2016/9/1 17:02:51-Trace>>OnEntitySyncQueue execute count:1, success:162/total 163, fail:0 start...


Time:2016/9/1 17:04:38-Trace>>OnEntitySyncQueue execute count:1, success:163/total 164, fail:0 start...


Time:2016/9/1 17:04:54-Trace>>OnEntitySyncQueue execute count:1, success:164/total 165, fail:0 start...


Time:2016/9/1 17:05:45-Trace>>OnEntitySyncQueue execute count:1, success:165/total 166, fail:0 start...


Time:2016/9/1 17:05:59-Trace>>OnEntitySyncQueue execute count:1, success:166/total 167, fail:0 start...


Time:2016/9/1 17:06:56-Trace>>OnEntitySyncQueue execute count:1, success:167/total 168, fail:0 start...


Time:2016/9/1 17:06:58-Trace>>OnEntitySyncQueue execute count:1, success:168/total 169, fail:0 start...


Time:2016/9/1 17:07:03-Trace>>OnEntitySyncQueue execute count:1, success:169/total 170, fail:0 start...


Time:2016/9/1 17:07:03-Trace>>OnEntitySyncQueue execute count:1, success:170/total 171, fail:0 start...


Time:2016/9/1 17:07:24-Trace>>OnEntitySyncQueue execute count:1, success:171/total 172, fail:0 start...


Time:2016/9/1 17:07:31-Trace>>OnEntitySyncQueue execute count:1, success:172/total 173, fail:0 start...


Time:2016/9/1 17:07:31-Trace>>OnEntitySyncQueue execute count:1, success:173/total 174, fail:0 start...


Time:2016/9/1 17:08:16-Trace>>OnEntitySyncQueue execute count:1, success:174/total 175, fail:0 start...


Time:2016/9/1 17:08:16-Trace>>OnEntitySyncQueue execute count:1, success:175/total 176, fail:0 start...


Time:2016/9/1 17:09:21-Trace>>OnEntitySyncQueue execute count:1, success:176/total 177, fail:0 start...


Time:2016/9/1 17:10:58-Trace>>OnEntitySyncQueue execute count:34, success:0/total 34, fail:0 start...


Time:2016/9/1 17:10:58-Trace>>OnEntitySyncQueue execute count:17, success:34/total 51, fail:0 start...


Time:2016/9/1 17:10:58-Trace>>OnEntitySyncQueue execute count:3, success:51/total 54, fail:0 start...


Time:2016/9/1 17:11:19-Trace>>OnEntitySyncQueue execute count:1, success:54/total 55, fail:0 start...


Time:2016/9/1 17:11:20-Trace>>OnEntitySyncQueue execute count:1, success:55/total 56, fail:0 start...


Time:2016/9/1 17:12:28-Trace>>OnEntitySyncQueue execute count:1, success:56/total 57, fail:0 start...


Time:2016/9/1 17:13:00-Trace>>OnEntitySyncQueue execute count:51, success:57/total 108, fail:0 start...


Time:2016/9/1 17:14:31-Trace>>OnEntitySyncQueue execute count:1, success:108/total 109, fail:0 start...


Time:2016/9/1 17:14:43-Trace>>OnEntitySyncQueue execute count:1, success:109/total 110, fail:0 start...


Time:2016/9/1 17:16:44-Trace>>OnEntitySyncQueue execute count:1, success:110/total 111, fail:0 start...


Time:2016/9/1 17:20:14-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


