Time:2016/8/19 12:02:49-Trace>>OnEntitySyncQueue execute count:2, success:131/total 134, fail:0 start...


Time:2016/8/19 12:03:41-Trace>>OnEntitySyncQueue execute count:2, success:133/total 136, fail:0 start...


Time:2016/8/19 12:04:28-Trace>>OnEntitySyncQueue execute count:2, success:135/total 138, fail:0 start...


Time:2016/8/19 12:15:04-Trace>>OnEntitySyncQueue execute count:1, success:137/total 139, fail:0 start...


Time:2016/8/19 12:15:04-Trace>>OnEntitySyncQueue execute count:2, success:138/total 141, fail:0 start...


Time:2016/8/19 12:15:29-Trace>>OnEntitySyncQueue execute count:2, success:140/total 143, fail:0 start...


Time:2016/8/19 12:15:34-Trace>>OnEntitySyncQueue execute count:1, success:142/total 144, fail:0 start...


Time:2016/8/19 12:15:36-Trace>>Action-1110 Uid:2 access timeout 1103.0631/500ms.


Time:2016/8/19 12:15:36-Trace>>OnEntitySyncQueue execute count:1, success:143/total 145, fail:0 start...


Time:2016/8/19 12:15:42-Trace>>OnEntitySyncQueue execute count:2, success:144/total 147, fail:0 start...


Time:2016/8/19 12:16:08-Trace>>OnEntitySyncQueue execute count:2, success:146/total 149, fail:0 start...


Time:2016/8/19 12:16:58-Trace>>OnEntitySyncQueue execute count:2, success:148/total 151, fail:0 start...


Time:2016/8/19 12:17:17-Trace>>OnEntitySyncQueue execute count:1, success:150/total 152, fail:0 start...


Time:2016/8/19 12:17:18-Trace>>OnEntitySyncQueue execute count:2, success:151/total 154, fail:0 start...


Time:2016/8/19 12:21:48-Trace>>OnEntitySyncQueue execute count:2, success:153/total 156, fail:0 start...


Time:2016/8/19 12:21:53-Trace>>OnEntitySyncQueue execute count:1, success:155/total 157, fail:0 start...


Time:2016/8/19 12:21:53-Trace>>OnEntitySyncQueue execute count:2, success:156/total 159, fail:0 start...


Time:2016/8/19 12:22:01-Trace>>OnEntitySyncQueue execute count:2, success:158/total 161, fail:0 start...


Time:2016/8/19 12:22:06-Trace>>OnEntitySyncQueue execute count:2, success:160/total 163, fail:0 start...


Time:2016/8/19 12:22:38-Trace>>OnEntitySyncQueue execute count:2, success:162/total 165, fail:0 start...


Time:2016/8/19 12:22:43-Trace>>OnEntitySyncQueue execute count:2, success:164/total 167, fail:0 start...


Time:2016/8/19 12:22:44-Trace>>OnEntitySyncQueue execute count:2, success:166/total 169, fail:0 start...


Time:2016/8/19 12:22:44-Trace>>OnEntitySyncQueue execute count:2, success:168/total 171, fail:0 start...


Time:2016/8/19 12:22:45-Trace>>OnEntitySyncQueue execute count:2, success:170/total 173, fail:0 start...


Time:2016/8/19 12:22:45-Trace>>OnEntitySyncQueue execute count:2, success:172/total 175, fail:0 start...


Time:2016/8/19 12:22:45-Trace>>OnEntitySyncQueue execute count:2, success:174/total 177, fail:0 start...


Time:2016/8/19 12:22:45-Trace>>OnEntitySyncQueue execute count:2, success:176/total 179, fail:0 start...


Time:2016/8/19 12:22:46-Trace>>OnEntitySyncQueue execute count:2, success:178/total 181, fail:0 start...


Time:2016/8/19 12:27:01-Trace>>OnEntitySyncQueue execute count:2, success:180/total 183, fail:0 start...


