Time:2016/9/6 16:00:00-Trace>>OnEntitySyncQueue execute count:1, success:168/total 169, fail:0 start...


Time:2016/9/6 16:00:10-Trace>>OnEntitySyncQueue execute count:1, success:169/total 170, fail:0 start...


Time:2016/9/6 16:00:18-Trace>>OnEntitySyncQueue execute count:1, success:170/total 171, fail:0 start...


Time:2016/9/6 16:01:09-Trace>>OnEntitySyncQueue execute count:2, success:171/total 173, fail:0 start...


Time:2016/9/6 16:01:25-Trace>>OnEntitySyncQueue execute count:2, success:173/total 175, fail:0 start...


Time:2016/9/6 16:01:25-Trace>>OnEntitySyncQueue execute count:2, success:175/total 177, fail:0 start...


Time:2016/9/6 16:01:30-Trace>>OnEntitySyncQueue execute count:1, success:177/total 178, fail:0 start...


Time:2016/9/6 16:01:39-Trace>>OnEntitySyncQueue execute count:2, success:178/total 180, fail:0 start...


Time:2016/9/6 16:01:39-Trace>>OnEntitySyncQueue execute count:1, success:180/total 181, fail:0 start...


Time:2016/9/6 16:01:45-Trace>>OnEntitySyncQueue execute count:1, success:181/total 182, fail:0 start...


Time:2016/9/6 16:02:18-Trace>>OnEntitySyncQueue execute count:1, success:182/total 183, fail:0 start...


Time:2016/9/6 16:02:18-Trace>>OnEntitySyncQueue execute count:1, success:183/total 184, fail:0 start...


Time:2016/9/6 16:02:30-Trace>>OnEntitySyncQueue execute count:2, success:184/total 186, fail:0 start...


Time:2016/9/6 16:12:11-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/9/6 16:12:11-Trace>>OnEntitySyncQueue execute count:7, success:51/total 58, fail:0 start...


Time:2016/9/6 16:12:11-Trace>>OnEntitySyncQueue execute count:21, success:58/total 79, fail:0 start...


Time:2016/9/6 16:12:41-Trace>>OnEntitySyncQueue execute count:21, success:79/total 100, fail:0 start...


Time:2016/9/6 16:12:41-Trace>>OnEntitySyncQueue execute count:51, success:100/total 151, fail:0 start...


Time:2016/9/6 16:12:45-Trace>>OnEntitySyncQueue execute count:2, success:151/total 153, fail:0 start...


Time:2016/9/6 16:13:23-Trace>>OnEntitySyncQueue execute count:1, success:153/total 154, fail:0 start...


Time:2016/9/6 16:13:41-Trace>>Action-4011 Uid:22 access timeout 6236.3567/500ms.


Time:2016/9/6 16:16:17-Trace>>OnEntitySyncQueue execute count:1, success:154/total 155, fail:0 start...


Time:2016/9/6 16:16:17-Trace>>OnEntitySyncQueue execute count:1, success:155/total 156, fail:0 start...


Time:2016/9/6 16:16:50-Trace>>Action-4011 Uid:22 access timeout 5462.3124/500ms.


Time:2016/9/6 16:17:02-Trace>>OnEntitySyncQueue execute count:1, success:156/total 157, fail:0 start...


Time:2016/9/6 16:17:03-Trace>>OnEntitySyncQueue execute count:1, success:157/total 158, fail:0 start...


Time:2016/9/6 16:17:24-Trace>>OnEntitySyncQueue execute count:1, success:158/total 159, fail:0 start...


Time:2016/9/6 16:18:01-Trace>>OnEntitySyncQueue execute count:1, success:159/total 160, fail:0 start...


