Time:2016/8/31 15:12:01-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/31 15:12:01-Trace>>OnEntitySyncQueue execute count:16, success:51/total 67, fail:0 start...


Time:2016/8/31 15:12:27-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/31 15:12:29-Trace>>OnEntitySyncQueue execute count:4, success:51/total 55, fail:0 start...


Time:2016/8/31 15:12:29-Trace>>OnEntitySyncQueue execute count:12, success:55/total 67, fail:0 start...


Time:2016/8/31 15:15:39-Trace>>OnEntitySyncQueue execute count:17, success:67/total 84, fail:0 start...


Time:2016/8/31 15:15:39-Trace>>OnEntitySyncQueue execute count:1, success:84/total 85, fail:0 start...


Time:2016/8/31 15:16:42-Trace>>OnEntitySyncQueue execute count:1, success:85/total 86, fail:0 start...


Time:2016/8/31 15:17:02-Trace>>OnEntitySyncQueue execute count:2, success:86/total 88, fail:0 start...


Time:2016/8/31 15:17:02-Trace>>OnEntitySyncQueue execute count:3, success:88/total 91, fail:0 start...


Time:2016/8/31 15:17:35-Trace>>Action-1002 Uid:0 access timeout 1479.0846/500ms.


Time:2016/8/31 15:17:36-Trace>>OnEntitySyncQueue execute count:4, success:91/total 95, fail:0 start...


Time:2016/8/31 15:17:47-Trace>>OnEntitySyncQueue execute count:1, success:95/total 96, fail:0 start...


Time:2016/8/31 15:17:53-Trace>>OnEntitySyncQueue execute count:1, success:96/total 97, fail:0 start...


Time:2016/8/31 15:17:53-Trace>>OnEntitySyncQueue execute count:54, success:97/total 151, fail:0 start...


Time:2016/8/31 15:37:13-Trace>>OnEntitySyncQueue execute count:51, success:0/total 51, fail:0 start...


Time:2016/8/31 15:37:13-Trace>>OnEntitySyncQueue execute count:16, success:51/total 67, fail:0 start...


Time:2016/8/31 15:37:21-Trace>>OnEntitySyncQueue execute count:17, success:67/total 84, fail:0 start...


Time:2016/8/31 15:37:21-Trace>>OnEntitySyncQueue execute count:2, success:84/total 86, fail:0 start...


Time:2016/8/31 15:37:28-Trace>>OnEntitySyncQueue execute count:1, success:86/total 87, fail:0 start...


Time:2016/8/31 15:37:50-Trace>>Action-3002 Uid:10 access timeout 28256.6162/500ms.


Time:2016/8/31 15:37:50-Trace>>Action-1008 Uid:10 access timeout 29473.6858/500ms.


Time:2016/8/31 15:38:07-Trace>>OnEntitySyncQueue execute count:3, success:87/total 90, fail:0 start...


Time:2016/8/31 15:38:24-Trace>>OnEntitySyncQueue execute count:1, success:90/total 91, fail:0 start...


Time:2016/8/31 15:39:25-Trace>>OnEntitySyncQueue execute count:53, success:91/total 144, fail:0 start...


Time:2016/8/31 15:39:31-Trace>>OnEntitySyncQueue execute count:2, success:144/total 146, fail:0 start...


Time:2016/8/31 15:39:34-Trace>>OnEntitySyncQueue execute count:1, success:146/total 147, fail:0 start...


Time:2016/8/31 15:39:34-Trace>>OnEntitySyncQueue execute count:3, success:147/total 150, fail:0 start...


Time:2016/8/31 15:40:26-Trace>>Action-1002 Uid:0 access timeout 1106.0633/500ms.


